brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,RoHS Compliant ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Tuner ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
PNY,GTX 980,PNY VCGGTX780T3XPB-OC G-SYNC Support GeForce GTX 780 Ti 3GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,395.0,5.0,13.5,https://www.newegg.com/pny-geforce-gtx-780-ti-vcggtx780t3xpb-oc/p/N82E16814133526?Description=GTX,Yes,1046 MHz,PNY,2880,"11.3"" x  4.4""",NVIDIA,Triple Fans,980 MHz,1 x DVI-D1 x DVI-I,12/10/2019,DirectX 11.2,1 x DisplayPort,Yes,7000MHz,NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA SurroundNVIDIA TXAA TechnologyNVIDIA FXAA TechnologySupport for four concurrent displays including:- Two dual-link DVI- HDMI 1.4b- DisplayPort 1.2 Microsoft DirectX 11.2 (feature 11_0)NVIDIA PhysX technologyNVIDIA 3D Vision-ReadyNVIDIA SLI-Ready technologyNVIDIA CUDA technologyPCI Express 3.0 supportOpenGL 4.4 supportOpenCL supportNVIDIA Shield -ReadyNVIDIA G-Sync -Ready,NONE,GeForce GTX 780 Ti,NVIDIA GeForce GTX 700 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,NONE,4096 x 2160,384-Bit,3GB,GDDR5,VCGGTX780T3XPB-OC,NONE,OpenGL 4.4,NONE,NONE,NONE,NONE,NONE,400MHz,NONE,SLI Ready,NONE,Dual Slot,NONE,Minimum 600W or greater system power supply (with a minimum 12V current rating of 42A),250W,NONE,NONE,-12,287.02,111.76,1046,980,7000.0,12.0
PNY,GTX 980,"PNY GeForce GTX 980 4GB CG EDITION, VCGGTX9804XPB-CG",465.0,4.0,,https://www.newegg.com/pny-geforce-gtx-980-vcggtx9804xpb-cg/p/N82E16814133563?Description=GTX,NONE,1216 MHz,PNY,2048,"10.5"" x 4.376""",NVIDIA,Single Fan,1126 MHz,1 x DVI,1/17/2019,DirectX 12,3 x DisplayPort,Yes,7000 MHZ,"The GeForce GTX 980 is the world’s fastest, most advanced graphics card. Powered by new NVIDIA Maxwell architecture, it includes incredible performance and next-gen technologies for a truly elite gaming experience.This innovative GPU gives you twice the performance of previous-generation cards*, as well as realistic lighting and support for smooth, tear-free NVIDIA G-SYNC technology. Plus, it features Super Resolution technology that delivers 4K-quality gaming—even on 1080p displays.",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,VCGGTX9804XPB-CG,NONE,OpenGL 4.4,NONE,NONE,NONE,NONE,2 x 6-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,Minimun 500W Power Supply,165W,NONE,Yes,-21,266.7,111.1504,1216,1126,7000.0,21.0
PNY,GTX 980,"PNY GeForce GTX 980 4GB XLR8 OC EDITION, VCGGTX9804XPB-XP-OC",499.99,4.0,4.69,https://www.newegg.com/pny-geforce-gtx-980-vcggtx9804xpb-xp-oc/p/N82E16814133580?Description=GTX,NONE,1329 MHz,PNY,2048,"11.2"" x 4.38""",NVIDIA,NONE,1228 MHz,1 x Dual-link DVI,8/28/2019,DirectX 12,3 x DisplayPort,Yes,7.2 Gbps,"""The GeForce GTX 980 is the worlds fastest, most advanced graphics card. Powered by new NVIDIA Maxwell architecture, it includes incredible performance and next-gen technologies for a truly elite gaming experience.KEY FEATURES- PNY XLR8 Pro Cooling technology- PNY Backplate Pre-installed- Factory Overclocked GPU and Memory- NVIDIA Super Resolution technology- NVIDIA GameWorks technology- NVIDIA GameStream technology- NVIDIA G-Sync - Ready- NVIDIA SHIELD-Ready- Microsoft DirectX 12- NVIDIA GPU Boost 2.0- NVIDIA Adaptive Vertical Sync- NVIDIA Surround technology- Support for four concurrent displays including: Dual-link DVI, Mini-HDMI1, Three Mini-DisplayPort 1.2- NVIDIA SLI-Ready- NVIDIA CUDA technology- PCI Express 3.0 support- OpenGL 4.4 & OpenCL support""",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x mini HDMI,PCI Express 3.0 x16,NONE,NONE,4096 x 2160 (Digital),256-Bit,4GB,GDDR4,VCGGTX9804XPB-XP-OC,4,OpenGL 4.4,"Microsoft Windows 8, Windows 7, Windows Vista",NONE,NONE,NONE,One 8-Pin + One 6-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,PCI Express-compliant motherboard with one dual-width x16 graphics slotOne 8-Pin + One 6-Pin PCI Express supplementary power connectorsMinimum 500W or greater system power supply2300MB of available hard-disk space2GB system memory (4GB or higher recommended)DVD-ROM drive and Internet connection,165W,NONE,Yes,-11,284.48,111.252,1329,1228,7.0,11.0
PNY,GTX 980,PNY GeForce GTX 980 RGMGTX98N3H4GM-KTM 4GB GDDR5 Video Card,389.0,5.0,,https://www.newegg.com/pny-geforce-gtx-980-rgmgtx98n3h4gm-ktm/p/N82E16814133686?Description=GTX,NONE,NONE,PNY,NONE,NONE,NVIDIA,NONE,NONE,NONE,2/14/2019,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,NONE,NONE,NONE,NONE,NONE,NONE,4GB,GDDR5,RGMGTX98N3H4GM-KTM,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,165W,NONE,NONE,-1,0.0,0.0,0,0,0.0,1.0
ZOTAC,GTX 980,"ZOTAC GeForce GTX 980 4GB, ZT-90204-10P",475.0,4.0,,https://www.newegg.com/zotac-geforce-gtx-980-zt-90204-10p/p/N82E16814500361?Description=GTX,NONE,1266 MHz,ZOTAC,2048,"10.94"" x 4.38""",NVIDIA,Triple fan cooler,1165 MHz,1 x DL-DVI,6/3/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"""The GeForce GTX 980 is the worlds fastest, most advanced graphics card. Powered by new NVIDIA Maxwell architecture, it includes incredible performance and next-gen technologies for a truly elite gaming experience.This innovative GPU gives you twice the performance of previous-generation cards*, as well as realistic lighting and support for smooth, tear-free NVIDIA G-SYNC technology. Plus, it features Super Resolution technology that delivers 4K-quality gaming - even on 1080p displays.FEATURESNVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Dynamic Super Resolution technologyNVIDIA MFAA technologyNVIDIA PhysX technologyNVIDIA GameWorks technologyNVIDIA Surround technologyNVIDIA GameStream technologyNVIDIA G-SYNC readyNVIDIA SHIELD readyNVIDIA SLI readyNVIDIA CUDA technology""",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0 x16,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,ZT-90204-10P,NONE,OpenGL 4.4,Certified for Windows 8 / 7 / Vista,NONE,NONE,ZOTAC GeForce GTX 980 AMP! EditionDVI-to-VGA adapter2 x Dual MOLEX-to-6-pin PCIe adaptersUser manualDriver disc,2 x 6-Pin,400MHz,Yes,3-Way SLI,NONE,Dual Slot,NONE,500-watt power supply recommended170-watt max power consumption2 x 6-pin PCI Express power connectors,165W,NONE,Yes,-33,277.876,111.252,1266,1165,7010.0,33.0
ZOTAC,GTX 980,"ZOTAC GeForce GTX 980 Ti 6GB, ZT-90501-10P",574.0,4.0,,https://www.newegg.com/zotac-geforce-gtx-980-ti-zt-90501-10p/p/N82E16814500376?Description=GTX,NONE,1076 MHz,ZOTAC,2816,"10.5"" x 4.38""",NVIDIA,NONE,1000 MHz,1 x Dual-link DVI (2560 x 1600),12/13/2019,DirectX 12,3 x DisplayPort 1.2 (4k @ 60 Hz),Yes,7010 MHz,NVIDIA Dynamic Super Resolution technologyNVIDIA MFAA technologyNVIDIA PhysX technologyNVIDIA GameWorks technologyNVIDIA GameStream readyNVIDIA G-Sync readyNVIDIA SHIELD readyNVIDIA GPU Boost 2.0 technologyNVIDIA Adaptive Vertical Sync technologyNVIDIA Surround technologyNVIDIA SLI readyNVIDIA CUDA technology,NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI (4k @ 60 Hz),PCI Express 3.0,NONE,NONE,2560 x 1600 (DL-DVI),384-Bit,6GB,NONE,ZT-90501-10P,NONE,OpenGL 4.4,Microsoft Windows Vista/7/8 x86/x64,NONE,NONE,ZOTAC GeForce GTX 980 TiDVI to VGA adapterDual 4-pin to 3x2-pin power cableDual 6-pin to 4x2-pin power cableUser ManualDriver disc,6-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,600-watt power supply recommended250-watt max power consumption,260W,NONE,Yes,-9,266.7,111.252,1076,1000,7010.0,9.0
MSI,GTX 980,MSI GeForce GTX 980 GAMING 4G,499.0,5.0,,https://www.newegg.com/msi-geforce-gtx-980-gtx-980-gaming-4g/p/N82E16814127834?Description=GTX,NONE,1317MHz ,MSI,2048,"10.98"" x 5.51""",NVIDIA,Double Fans,1216MHz  (OC Mode)1190MHz (Gaming Mode)1140MHz (Silent Mode),1 x DVI,12/10/2018,DirectX 12,3 x DisplayPort,Yes,7010 MHz,OC ModeMaximum Performance through higher clock speeds and increased fan performanceGaming Mode (Default)The best balance between in-game performance and thermalSilent ModeThe best environment for minimal fan noise,NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0 x16,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,GTX 980 GAMING 4G,NONE,OpenGL 4.4,NONE,NONE,NONE,NONE,2 x 8-Pin,NONE,NONE,Quad SLI,NONE,Dual Slot,NONE,Minimum 500W Power Supply,165W,NONE,Yes,-156,278.892,139.954,1317,1216,7010.0,156.0
MSI,GTX 980,MSI GeForce GTX 980 DirectX 12 GTX 980 GAMING 4G LE 4GB 256-Bit GDDR5 HDCP Ready SLI Support ATX Video Card,499.0,4.0,,https://www.newegg.com/msi-geforce-gtx-980-gtx-980-gaming-4g-le/p/N82E16814127840?Description=GTX,Yes,1253 MHz,MSI,NONE,"10.98"" x 5.51""",NONE,NONE,1152 MHz,1 x DL-DVI-I,12/9/2018,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"Next-Gen Thermal Design: Twin Frozr V- Torx Fan:Maximizes airflow and dispersion.SuperSU Architectureimproves dissipation efficiency through special heatpipe layout.Hybrid Frozr Technology:- Zero Frozr: Fans stop spinning in low load to keep the card quiet and increase lifetime.- Independent Fan Control: Maximum fan control, minimum noise.Airflow Control technologyDeflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest (reduced blue light). Support custom color, Gamma, Brightness and Contrast settings from within the Gaming App.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,NONE,NONE,NONE,NONE,256-Bit,4GB,GDDR5,GTX 980 GAMING 4G LE,NONE,OpenGL 4.4,NONE,NONE,NONE,AccessoriesDriver CD: YInstallation Guide: YDVI to VGA Dongle: 1Power Cable: 8-pin x1,2 x 8-Pin,NONE,NONE,Quad SLI,NONE,NONE,2048 Stream Processors,Power Consumption: 165W,165W,NONE,Yes,-6,278.892,139.954,1253,1152,7010.0,6.0
MSI,GTX 980,MSI GeForce GTX 980 Ti DirectX 12 GTX 980Ti 6GD5 6GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support ATX Video Card,530.0,5.0,,https://www.newegg.com/msi-geforce-gtx-980-ti-gtx-980ti-6gd5/p/N82E16814127871?Description=GTX,Yes,1076 MHz,MSI,2816,"10.83"" x 4.33""",NVIDIA,Single Fan,1000 MHz,1 x DL-DVI-I,12/5/2019,DirectX 12,3 x DisplayPort,Yes,7010MHz,"All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12benchmark.- Supports multi-GPUsetupsGPU Boost 2.0 Technology- Ensures the GPU runs at its peak performance and games at their highest frame rate possible.- Offer new levels of customization including GPU temperature target, overclocking, and unlocked voltage3DVision Surround- Supports 3 displays in full stereoscopic 3D with a single card.- Supports up to 4 displays with a single card",ATX,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,NONE,NONE,384-Bit,6GB,GDDR5,GTX 980Ti 6GD5,NONE,OpenGL 4.4,NONE,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,NONE,Quad SLI,NONE,NONE,NONE,Power Consumption: 250W,260W,NONE,Yes,-12,275.082,109.982,1076,1000,7010.0,12.0
MSI,GTX 980,MSI GeForce GTX 980 Ti GAMING 6G,559.0,5.0,,https://www.newegg.com/msi-geforce-gtx-980-ti-gtx-980ti-gaming-6g/p/N82E16814127889?Description=GTX,NONE,1279 MHz ,MSI,NONE,"10.59"" x 5.51""",NVIDIA,Double Fans,1178 MHz (OC Mode)1140 MHz (Gaming Mode)1000 MHz (Silent Mode),1 x Dual-link DVI-I,12/6/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz / 7096 MHz (OC Mode),"Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.SuperSU Architecture - improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control - choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one click.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0 x16,NONE,NONE,4096 x 2160,384-Bit,6GB,GDDR5,GTX 980TI GAMING 6G,4,OpenGL 4.4,NONE,NONE,NONE,"Accessories:1x 8-pin Power Cable, 1x DVI to VGA Dongle",2 x 8-Pin,400MHz,NONE,Quad SLI,NONE,Dual Slot,NONE,Power consumption: 250WRecommended Power Supply: 600W,260W,NONE,Yes,-191,268.986,139.954,1279,1178,7010.0,191.0
MSI,GTX 980,MSI GeForce GTX 980 4GD5T OC,499.0,5.0,,https://www.newegg.com/msi-geforce-gtx-980-gtx-980-4gd5t-oc/p/N82E16814127901?Description=GTX,NONE,1102 MHz,MSI,NONE,"10.91"" x 5.31""",NVIDIA,NONE,1190 MHz,1 x DL-DVI-I,9/16/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"Armor 2X Thermal DesignDelivers more airflow than traditional single fan thermal design.Huge heat sink provides better heat dissipation.Propeller Blade TechnologyProduces 20% more airflow than traditional fan design.Produces less noise than traditional fan designs.Airflow Control technologyDeflects more airflow to heatpipesand improves airflow efficiency.Increases the heatsinkarea to enhance dissipation efficiency.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,NONE,NONE,256-Bit,4GB,GDDR5,GTX 980 4GD5T OC,4,OpenGL 4.4,NONE,NONE,NONE,AccessoriesDriver CD: YInstallation Guide: YDVI to VGA Dongle: 1Power Cable: 6-pin to 8-pin x 1,2 x 8-Pin,NONE,NONE,Quad SLI,NONE,Dual Slot,2048 Stream Processors,Power Consumption: 165WRecommended PSU: 500W,165W,NONE,Yes,-8,277.11400000000003,134.874,1102,1190,7010.0,8.0
MSI,GTX 980,MSI GeForce GTX 980 Ti GAMING 6G,420.0,5.0,,https://www.newegg.com/msi-geforce-gtx-980-ti-vdgtx980tigm6g/p/N82E16814127978?Description=GTX,NONE,1279 MHz,MSI,NONE,"10.59"" x 5.51""",NVIDIA,Double Fans,1178 MHz (OC Mode)1140 MHz (Gaming Mode)1000 MHz (Silent Mode),1 x Dual-link DVI-I,12/6/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz / 7096 MHz (OC Mode),"Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.SuperSU Architecture - improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control - choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one click.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0 x16,NONE,NONE,4096 x 2160,384-Bit,6GB,GDDR5,VDGTX980TIGM6G,4,OpenGL 4.4,NONE,NONE,NONE,NONE,2 x 8-Pin,400MHz,NONE,Quad SLI,NONE,Dual Slot,NONE,Power consumption: 250WRecommended Power Supply: 600W,260W,NONE,Yes,-2,268.986,139.954,1279,1178,7010.0,2.0
ASUS,GTX 980,ASUS GeForce GTX 980 Ti STRIX-GTX980TI-DC3-6GD5-GAMING 6GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,309.99,4.0,75.0,https://www.newegg.com/asus-geforce-gtx-980-ti-strix-gtx980ti-dc3-6gd5-gaming/p/N82E16814121979?Description=GTX,Yes,1075 MHz,ASUS,2816,"12.01"" x 5.99""",NVIDIA,Triple Fans,1000 MHz,1 x DVI-I,10/7/2020,NONE,3 x DisplayPort,Yes,7010 MHz,ASUS STRIX GTX 980 Ti delivers truly elite gaming experienceDirectCU III with Triple Wing-Blade 0dB Fan Design delivers maximum air flow with 30% cooler and 3X quieter performance.AUTO-EXTREME Technology with Super Alloy Power II delivers premium quality and best reliability.Pulsating STRIX LED makes a statement while adding style to your system.STRIX GPU-Fortifier relieves physical stress around the GPU in order to protect it.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.,NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,305 mm,4096 x 2160,384-Bit,6GB,GDDR5,STRIX-GTX980TI-DC3-6GD5-GAMING,NONE,OpenGL 4.5,NONE,NONE,NONE,Accessories:1 x Power cable1 x STRIX Laser StickerSoftware:ASUS GPU Tweak II & Driver,2 x 8-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,Power Consumption: up to 375W,260W,NONE,Yes,0 reviews,305.0540000000001,152.14600000000004,1075,1000,7010.0,0.0
ASUS,GTX 980,ASUS GeForce GTX 980 STRIX-GTX980-DC2OC-4GD5 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,449.0,,13.5,https://www.newegg.com/asus-geforce-gtx-980-strix-gtx980-dc2oc-4gd5/p/N82E16814121992?Description=GTX,NONE,1279 MHz,ASUS,2048,"11.36"" x 5.3""",NVIDIA,Double Fans,1178 MHz,1 x DVI-I,4/8/2019,NONE,3 x DisplayPort,NONE,7010 MHz,"1279 MHz Boost clock for better performance and outstanding gaming experience.DirectCU II with 0dB fan technology lets you enjoy light games in complete silence, and hardcore gaming 30% cooler with 3X-quieter performance!DIGI+ VRM with 10-phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performance.GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface.GPU Tweak Streaming share on-screen action in real time – so others can watch live as games are played.",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,STRIX-GTX980-DC2OC-4GD5,NONE,OpenGL 4.4,NONE,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,up to 300W additional 6+8 pin PCIe power required,165W,NONE,NONE,291 (90% Positive),288.5440000000001,134.62,1279,1178,7010.0,291.0
GIGABYTE,GTX 980,"GIGABYTE GeForce GTX 980 4GB G1 GAMING OC EDITION, GV-N980G1 GAMING-4GD",510.0,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-980-gv-n980g1-gaming-4gd/p/N82E16814125682?Description=GTX,Yes,1354,GIGABYTE,2048,"12.28"" x 5.08""",NVIDIA,WINDFORCE 3X,1253 MHz in OC Mode1228 MHz in Gaming Mode,1 x Dual-link DVI-I1 x DVI-D,4/14/2020,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"""WINDFORCE 3X 600W cooling systemFlex Display Technology(patent-pending)Powered by NVIDIA GeForce GTX 980 GPUIntegrated with industrys best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3BASE: 1228 MHz / BOOST: 1329 MHzSystem power supply requirement: 600W (with two 8-pin external power connectors)""",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,GV-N980G1 GAMING-4GD,4,OpenGL 4.4,NONE,NONE,NONE,NONE,2 x 8-Pin,NONE,NONE,SLI Ready,G1 Gaming,Dual Slot,NONE,Power requirement: 600W,165W,NONE,Yes,-82,311.9120000000001,129.032,1354,1253,7010.0,82.0
GIGABYTE,GTX 980,"GIGABYTE GeForce GTX 980 4GB WINDFORCE 3X OC EDITION, GV-N980WF3OC-4GD",510.0,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-980-gv-n980wf3oc-4gd/p/N82E16814125696?Description=GTX,Yes,1304,GIGABYTE,2048,"12.28"" x 5.08""",NVIDIA,Triple Fans,1203 MHz in OC Mode1178 MHz in Gaming Mode,1 x Dual-link DVI-I1 x Dual-link DVI-D,5/12/2020,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"""WINDFORCE 3X cooling systemFlex Display Technology(patent-pending)Powered by NVIDIA GeForce GTX 980 GPUIntegrated with industrys best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / Dual-link DVI-D / HDMI / DisplayPort*3BASE: 1178 MHz / BOOST: 1279 MHz (1203 / 1304 MHz in OC Mode)System power supply requirement: 600W (with two 8-pin external power connectors)""",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,Digital: 4096 x 2160Analog: 2048 x 1536,256-Bit,4GB,GDDR5,GV-N980WF3OC-4GD (rev. 1.0/1.1),Multi-view: 4,OpenGL 4.4,NONE,NONE,NONE,NONE,2 x 8-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,Power requirement: 600W,165W,NONE,Yes,-14,311.9120000000001,129.032,1304,1203,7010.0,14.0
GIGABYTE,GTX 980,GIGABYTE GV-N980G1 GAMING-4GD GeForce GTX 980 4GB 256-Bit GDDR5 PCI Express 3.0 SLI Support G-SYNC Support Video Card Certified Refurbished,475.0,4.0,13.5,https://www.newegg.com/gigabyte-geforce-gtx-980-gv-n980g1-gaming-4gd/p/N82E16814125790?Description=GTX,Yes,1329 MHz,GIGABYTE,2048,"12.28"" x 5.08""",NVIDIA,WINDFORCE 3X,1228 MHz,1 x Dual-link DVI-I1 x DVI-D,7/11/2019,DirectX 12,3 x DisplayPort,Yes,7010MHz,"""WINDFORCE 3X 600W cooling systemFlex Display Technology(patent-pending)Powered by NVIDIA GeForce GTX 980 GPUIntegrated with industrys best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3BASE: 1228 MHz / BOOST: 1329 MHzSystem power supply requirement: 600W (with two 8-pin external power connectors)""",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,GV-N980G1 GAMING-4GD,4,OpenGL 4.4,NONE,G1 Gaming,NONE,NONE,2 x 8-Pin,NONE,NONE,SLI Ready,G1 Gaming,Dual Slot,NONE,Power requirement: 600W,165W,NONE,NONE,-5,311.9120000000001,129.032,1329,1228,7010.0,5.0
GIGABYTE,GTX 980,GIGABYTE GeForce GTX 980 Ti GV-N98TG1 6GD G1b GAMING OC Edition - Certified Refurbished,485.0,4.0,13.5,https://www.newegg.com/gigabyte-geforce-gtx-980-ti-gv-n98tg1-gaming-6gd/p/N82E16814125832?Description=GTX,Yes,1291MHz,GIGABYTE,NONE,"11.61"" x 5.08""",NVIDIA,WINDFORCE 3X,1190MHz (OC Mode)1152MHz (Gaming Mode),1 x Dual-link DVI-I1 x Dual-link DVI-D,8/26/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"""WINDFORCE 3X 600W cooling systemFlex Display TechnologyPowered by NVIDIA GeForce GTX 980 TI GPUIntegrated with industrys best 6GB GDDR5 memory 384-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3Boost:1291 MHz / Base: 1190 MHz(1241/1152 MHz in Gaming Mode)System power supply requirement: 600W (with two 8-pin external power connectors)Process Technology: 28 nm""",ATX,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,NONE,Digital: 4096 x 2160Analog: 2048 x 1536,384-Bit,6GB,GDDR5,GV-N98TG1 GAMING-6GD,4,OpenGL 4.4,NONE,NONE,NONE,NONE,2 x 8-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,2816 Stream Processors,600W,260W,NONE,NONE,291 (90% Positive),294.894,129.032,1291,1190,7010.0,291.0
