brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
MSI,RTX 2060,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,669.99,4.0,,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-gaming-x/p/N82E16814137440?Description=rtx,1695 MHz,MSI,2176,"9.76"" x 5.04""",NVIDIA,Double Fans,NONE,NONE,11/27/2019,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gpbs,"Twin Frozr 7 Thermal DesignTORX Fan 3.0- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.Dragon CenterA consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.",NONE,GeForce RTX 2060 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,248 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2060 SUPER GAMING X,4,OpenGL 4.5,NONE,NONE,NONE,NONE,8-Pin,NONE,No,NONE,NONE,Recommended PSU: 550W,175W,Yes,88 (80% Positive),247.904,128.016,1695,0,14.0,88.0
EVGA,RTX 2060,"EVGA GeForce RTX 2060 XC BLACK GAMING, 6GB GDDR6, HDB Fan Graphics Card 06G-P4-2061-KR",417.96,5.0,,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2061-kr/p/N82E16814487425?Description=rtx,1680 MHz,EVGA,1920,"7.48"" x 4.38""",NVIDIA,Single Fan,NONE,1 x Dual-Link DVI-D,1/16/2019,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"NVIDIA AnselReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,190 mm,7680 x 4320,192-Bit,6GB,GDDR6,06G-P4-2061-KR,3,OpenGL 4.5,"Windows 10 (64-bit), Windows 7 (64-bit)",NONE,NONE,NONE,8-Pin,NONE,No,NONE,2.75 slot,"500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",160W,Yes,"2,347 (73% Positive)",189.992,111.252,1680,0,14000.0,2.0
EVGA,RTX 2060,"EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans",409.45,,,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2067-kr/p/1FT-001K-00468?Description=rtx,1755 MHz,EVGA,1920,"10.55"" x 4.38""",NVIDIA,Double Fans,NONE,1 x Dual-Link DVI-D,8/18/2019,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"Real-Time Ray Tracing  NVIDIA GeForce Experience  NVIDIA Ansel  NVIDIA Highlights  NVIDIA G-SYNC Compatible  Game Ready Drivers  Microsoft DirectX 12 API, Vulkan API, OpenGL 4.5  Built for EVGA Precision X1  NVIDIA GPU Boost",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,268 mm,7680 x 4320,192-Bit,6GB,GDDR6,06G-P4-2067-KR,3,OpenGL 4.5,"Windows 10 64-bit, Windows 7 64-bit",NONE,NONE,NONE,One available 8-pin PCIe power dongle,NONE,NONE,NONE,Dual Slot,"500-Watt or greater power supply PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot",190W,Yes,486 (90% Positive),267.97,111.252,1755,0,14000.0,486.0
GIGABYTE,RTX 2060,"GIGABYTE Geforce RTX 2060 OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060OC-6GD Video Card",425.69,4.0,,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060oc-6gd/p/N82E16814932115?Description=rtx,NONE,GIGABYTE,1920,"8.88"" x 4.80""",NVIDIA,WINDFORCE 2X,1755 MHz,NONE,8/23/2019,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060Integrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans90mm unique blade fansProtection back plate,ATX,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,226 mm,7680 x 4320 @ 60 Hz,192-Bit,6GB,GDDR6,GV-N2060OC-6GD ver 2.0,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:Quick guideDriver CD,8-Pin,NONE,No,NONE,Dual Slot,System PSU Limitation (W): 500,160W,Yes,36 (64% Positive),225.552,121.92,0,1755,14000.0,36.0
GIGABYTE,RTX 2060,"GIGABYTE AORUS GeForce RTX 2060 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N206SAORUS-8GC Video Card",773.99,4.0,,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206saorus-8gc/p/N82E16814932172?Description=rtx,NONE,GIGABYTE,2176,"11.42"" x 5.29""",NVIDIA,WINDFORCE STACK,1845 MHz,NONE,10/28/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE Stack 3 X 100mm Fan Cooling SystemRGB light reinvented7 Video OutputsMetal Back PlateBuilt for Extreme Overclocking 10+2 Power Phases,ATX,GeForce RTX 2060 SUPER,NONE,NONE,3 x HDMI 2.0b,PCI Express 3.0 x16,290 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N206SAORUS-8GC,4,OpenGL 4.5,NONE,NONE,1 x USB Type-C (support VirtualLink),NONE,"1 x 6-pin, 1 x 8-pin",NONE,No,AORUS,Triple Slot,System PSU Limitation: 550W,175W,Yes,247 (72% Positive),290.068,134.366,0,1845,14000.0,247.0
GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 GAMING OC PRO 6G Graphics Card, 3 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060GAMINGOC PRO-6GD Video Card",579.99,5.0,,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060gamingoc-pro-6gd/p/N82E16814932119?Description=rtx,NONE,GIGABYTE,1920,"11.04"" x 4.58""",NVIDIA,WINDFORCE 3X,1830 MHz,NONE,10/28/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060Integrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate,ATX,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,280 mm,7680 x 4320 @ 60 Hz,192-Bit,6GB,GDDR6,GV-N2060GAMINGOC PRO-6GD,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:Quick guideDriver CD,8-Pin,NONE,No,NONE,Dual Slot,System PSU Limitation (W): 500,160W,NONE,247 (72% Positive),280.416,116.332,0,1830,14000.0,247.0
EVGA,RTX 2060,"EVGA GeForce RTX 2060 XC GAMING, 6GB GDDR6, HDB Fan Graphics Card 06G-P4-2063-KR",499.99,5.0,,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2063-kr/p/N82E16814487423?Description=rtx,1755 MHz,EVGA,1920,"7.48"" x 4.38""",NVIDIA,Single Fan,NONE,1 x Dual-Link DVI-D,8/12/2020,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"NVIDIA AnselHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Microsoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6Supports NVIDIA NVENC Turing Encoder",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,190 mm,7680 x 4320,192-Bit,6GB,GDDR6,06G-P4-2063-KR,3,OpenGL 4.6,"Windows 10 (64-bit), Windows 7 (64-bit)",NONE,NONE,NONE,8-Pin,NONE,No,NONE,2.75 Slot,"500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",160W,Yes,-9,189.992,111.252,1755,0,14000.0,9.0
ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-EVO-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,644.99,5.0,99.99,https://www.newegg.com/asus-geforce-rtx-2060-rog-strix-rtx2060-o6g-evo-gaming/p/N82E16814126425?Description=rtx,1860 MHzGaming Mode: 1830 MHz,ASUS,1920,"11.81"" x 5.20""",NVIDIA,Triple Fans,1365 MHz,NONE,6/4/2020,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"OC Edition: Boost Clock 1860 MHz (OC Mode) / 1830 MHz (Gaming Mode).NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,300 mm,7680 x 4320,192-Bit,6GB,GDDR6,ROG-STRIX-RTX2060-O6G-EVO-GAMING,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x ROG Velcro Hook & Loop1 x Quick Guide,8-Pin,NONE,No,ROG STRIX,2.5-slot,Recommended PSU: 500W,190W,Yes,36 (64% Positive),299.974,132.08,1860,1365,14000.0,36.0
ASUS,RTX 2060,ASUS Dual GeForce RTX 2060 DirectX 12 DUAL-RTX2060-O6G-MINI 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,359.22,5.0,15.99,https://www.newegg.com/asus-geforce-rtx-2060-dual-rtx2060-o6g-mini/p/N82E16814126450?Description=rtx,1755 MHzGaming Mode: 1725 MHz,ASUS,1920,"7.80"" x 4.80""",NVIDIA,Double Fans,1365 MHz,1 x DVI-D,10/6/2020,DirectX 12,1 x DisplayPort 1.4,NONE,NONE,14000 MHz,"OC Edition: Boost Clock 1755 MHz (OC Mode) / 1725 MHz (Gaming Mode).NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Coolest dual-fan GPU built for the Intel NUC 9 Extreme Kit and Intel NUC 9 Pro Kit.A 2-slot Design maximizes compatibility and cooling efficiency for superior performance in small chassis.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.Auto-Extreme Technology uses automation to enhance reliability.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,197 mm,7680 x 4320,192-Bit,6GB,GDDR6,DUAL-RTX2060-O6G-MINI,NONE,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x Speedsetup manual,8-Pin,NONE,No,Dual,Dual Slot,Recommended PSU: 500W,NONE,Yes,36 (64% Positive),198.12,121.92,1755,1365,14000.0,36.0
GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060GAMINGOC PRO-6GD Ver 2.0 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,579.99,5.0,,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060gamingoc-pro-6gd-ver-2-0/p/N82E16814932225?Description=rtx,NONE,GIGABYTE,1920,NONE,NVIDIA,Triple Fans,1830 MHz,NONE,10/14/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,NONE,ATX,GeForce RTX 2060,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,224 mm,7680x4320@60Hz,192-Bit,6GB,GDDR6,GV-N2060GAMINGOC PRO-6GD Ver 2.0,4,OpenGL 4.5,NONE,NONE,NONE,NONE,8-Pin,NONE,No,NONE,Dual Slot,Recommended PSU: 500W,210W,Yes,36 (64% Positive),0.0,0.0,0,1830,14000.0,36.0
ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-O8G-EVO-V2-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,624.99,3.0,99.99,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-o8g-evo-v2-gaming/p/N82E16814126447?Description=rtx,1860 MHzGaming mode: 1830 MHz,ASUS,2176,"11.83"" x 5.14""",NVIDIA,Triple Fans,1470 MHz,NONE,10/9/2020,NONE,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"OC Edition: Boost Clock 1860 MHz (OC Mode) / 1830 MHz (Gaming Mode).RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.",NONE,GeForce RTX 2060 SUPER,NONE,2.2,2 x HDMI 2.0b,PCI Express 3.0,301 mm,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2060S-O8G-EVO-V2-GAMING,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x ROG Velcro Hook & Loop1 x Speedsetup manual,"1 x 6-pin, 1 x 8-pin",NONE,No,ROG STRIX,2.5 slot,Recommended PSU: 550W,NONE,Yes,36 (64% Positive),300.482,130.556,1860,1470,14000.0,36.0
ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-A8G-EVO-V2-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,674.99,5.0,99.99,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-a8g-evo-v2-gaming/p/N82E16814126444?Description=rtx,1710 MHzGaming mode: 1680 MHz,ASUS,2176,"11.83"" x 5.14""",NVIDIA,Triple Fans,1470 MHz,NONE,10/28/2020,NONE,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"Advanced Edition: Boost Clock 1710 MHz (OC Mode) / 1680 MHz (Gaming Mode).RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.",NONE,GeForce RTX 2060 SUPER,NONE,2.2,2 x HDMI 2.0b,PCI Express 3.0,301 mm,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2060S-A8G-EVO-V2-GAMING,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x ROG Velcro Hook & Loop1 x Speedsetup manual,"1 x 6-pin, 1 x 8-pin",NONE,No,ROG STRIX,2.5 slot,Recommended PSU: 550W,NONE,Yes,16 (81% Positive),300.482,130.556,1710,1470,14000.0,16.0
ASUS,RTX 2060,ASUS Turbo GeForce RTX 2060 DirectX 12 TURBO-RTX2060-6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,499.99,5.0,45.0,https://www.newegg.com/asus-geforce-rtx-2060-turbo-rtx2060-6g/p/N82E16814126286?Description=rtx,1710 MHzGaming Mode: 1680 MHz,ASUS,1920,"10.59"" x 4.45""",NVIDIA,Single Fan,Gaming Mode: 1365 MHz,NONE,10/28/2020,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Redesigned Shroud improves cooling for multi-card configurations and chassis with limited airflow.Dual-ball Bearing Fan with IP5X Dust Resistance is a larger, quieter, and dust resistant fan that shifts more air.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,269 mm,7680 x 4320,192-Bit,6GB,GDDR6,TURBO-RTX2060-6G,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:1 x CD1 x Quick Guide,8-Pin,NONE,No,Turbo,Dual Slot,Recommended PSU: 500W,160W,Yes,883 (79% Positive),268.986,113.03,1710,1365,14000.0,883.0
ASUS,RTX 2060,Asus ROG Strix ROG-STRIX-RTX2060S-A8G-EVO-GAMING GeForce RTX 2060 SUPER Graphic Card - 8GB GDDR6,604.99,4.0,99.99,https://www.newegg.com/asus-rog-rtx-2060-super-rog-strix-rtx2060s-a8g-gaming/p/N82E16814126355?Description=rtx,1710 MHzGaming Mode - 1680 MHz,ASUS,2176,"11.83"" x 5.14""",NVIDIA,Triple Fans,NONE,NONE,10/28/2020,NONE,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"Advanced Edition: Boost Clock 1710 MHz (OC Mode) / 1680 MHz (Gaming Mode).RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.",NONE,GeForce RTX 2060 SUPER,NONE,2.2,2 x HDMI 2.0b,PCI Express 3.0,301 mm,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2060S-A8G-EVO-GAMING,4,OpenGL 4.6,NONE,NONE,1 x USB Type-C,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop,"1 x 6-pin, 1 x 8-pin",NONE,No,ROG Strix,2.5-slot,Recommended PSU: 550W,NONE,NONE,16 (81% Positive),300.482,130.556,1710,0,14000.0,16.0
ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-A6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,599.99,5.0,99.99,https://www.newegg.com/asus-geforce-rtx-2060-rog-strix-rtx2060-a6g-gaming/p/N82E16814126281?Description=rtx,1740 MHz Gaming Mode: 1710 MHz,ASUS,1920,"11.81"" x 5.20""",NVIDIA,Triple Fans,OC Mode: 1395 MHzGaming Mode: 1365 MHz,NONE,10/19/2020,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turings cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,300 mm,7680 x 4320,192-Bit,6GB,GDDR6,ROG-STRIX-RTX2060-A6G-GAMING,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x ROG Velcro Hook & Loop1 x CD1 x Quick Guide,"1 x 6-pin, 1 x 8-pin",NONE,No,ROG STRIX,2.5-slot,Recommended PSU: 500W,160W,Yes,36 (64% Positive),299.974,132.08,1740,1395,14000.0,36.0
GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SWF2OC-8GD Video Card",559.99,4.0,45.0,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2oc-8gd/p/N82E16814932174?Description=rtx,NONE,GIGABYTE,2176,"10.43"" x 4.76""",NVIDIA,WINDFORCE 2X,1680 MHz,NONE,10/16/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans100mm unique blade fansProtection Back Plate,ATX,GeForce RTX 2060 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,265 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N206SWF2OC-8GD,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:Quick guideDriver CD,8-Pin,NONE,No,NONE,Dual Slot,System PSU Limitation: 550W,175W,Yes,36 (64% Positive),264.922,120.904,0,1680,14000.0,36.0
GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMING OC-8GD v2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,764.99,4.0,,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206sgaming-oc-8gd-v2-0/p/N82E16814932250?Description=rtx,NONE,GIGABYTE,2176,"11.04"" x 4.58""",NVIDIA,WINDFORCE 3X,1710 MHz,NONE,10/28/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - 16.7M colors synchronize with other AORUS devicesMetal Back Plate,ATX,GeForce RTX 2060 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,280 mm,7680x4320@60Hz,256-Bit,8GB,GDDR6,GV-N206SGAMING OC-8GD v2.0,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:Quick guideDriver CD,8-Pin,NONE,No,NONE,NONE,Recommended PSU: 550W,120W,Yes,247 (72% Positive),280.416,116.332,0,1710,14000.0,247.0
ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER DirectX 12 ROG-STRIX-RTX2060S-A8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,674.99,5.0,99.99,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-a8g-gaming/p/N82E16814126333?Description=rtx,1710 MHzGaming mode: 1680 MHz,ASUS,2176,"11.83"" x 5.14""",NVIDIA,Triple Fans,OC mode: 1500 MHzGaming mode: 1470 MHz,NONE,10/28/2020,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Wing-blade fan design incorporates drooped tips on each blade to reduce drag.0dB Technology lets you enjoy light gaming in relative silence.Dual BIOS switch lets you toggle between Quiet and Performance BIOS profiles sans software.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.",NONE,GeForce RTX 2060 SUPER,NONE,2.2,2 x HDMI 2.0b,PCI Express 3.0,301 mm,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2060S-A8G-GAMING,4,OpenGL 4.6,NONE,NONE,1 x USB Type-C,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop,"1 x 6-pin, 1 x 8-pin",NONE,No,ROG STRIX,2.5 slot,Recommended PSU: 550W,215W,Yes,16 (81% Positive),300.482,130.556,1710,1500,14000.0,16.0
