,brand,model,product_name,price,rating,shipping,url
0,GIGABYTE,GTX 1050,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Video Cards,$159.99 (5 Offers)–,5,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1050-ti-gv-n105td5-4gd/p/N82E16814125916?Description=GTX
1,MSI,GTX 1050,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card,$157.99 (19 Offers)–,5,$3.99 Shipping,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-4gt-lp/p/N82E16814137081?Description=GTX
2,MSI,GTX 1050,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$161.00 (18 Offers)–,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-4gt-oc/p/N82E16814137055?Description=GTX
3,EVGA,GTX 1050,"EVGA GeForce GTX 1050 Ti SC GAMING, 04G-P4-6253-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",$679.99 (1 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1050-ti-04g-p4-6253-kr/p/N82E16814487291?Description=GTX
4,MSI,GTX 1050,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$227.59 (4 Offers)–,5,Special Shipping,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-4g/p/N82E16814137060?Description=GTX
5,EVGA,GTX 1050,EVGA GeForce GTX 970 04G-P4-1970-KR 4GB 256-Bit GDDR5 PCI Express 3.0 G-SYNC Support Video Card,$449.00 (1 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-970-04g-p4-1970-kr/p/N82E16814487069?Description=GTX
6,EVGA,GTX 1050,"EVGA GeForce GTX 1050 GAMING, 02G-P4-6150-KR, 2GB GDDR5, DX12 OSD Support (PXOC)",$327.00 (1 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1050-02g-p4-6150-kr/p/N82E16814487295?Description=GTX
7,MSI,GTX 1050,"MSI GeForce GTX 1050 Ti 4GT LP Graphics Card, PCI-E x16, No SLI, Low Profile",$221.99 –,,Free Shipping,https://www.newegg.com/msi-gtx1050ti4gtlp/p/1FT-0009-004M5?Description=GTX
8,ASUS,GTX 1050,"ASUS Cerberus GeForce GTX 1050 Ti 4GB OC Edition GDDR5 Gaming Graphics Card, CERBERUS-GTX1050TI-O4G",$210.48 –,4,$31.00 Shipping,https://www.newegg.com/asus-geforce-gtx-1050-ti-cerberus-gtx1050ti-o4g/p/N82E16814126237?Description=GTX
9,EVGA,GTX 1050,"EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0, 04G-P4-6255-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",$327.49 (2 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1050-ti-04g-p4-6255-kr/p/N82E16814487292?Description=GTX
10,ASUS,GTX 1050,ASUS ROG GeForce GTX 1050 Ti STRIX-GTX1050TI-O4G-GAMING 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$454.99 (1 Offers)–,5,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1050-ti-strix-gtx1050ti-o4g-gaming/p/N82E16814126171?Description=GTX
11,ZOTAC,GTX 1050,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Mini Video Card,$215.00 –,5,Free Shipping,https://www.newegg.com/zotac-geforce-gtx-1050-ti-zt-p10510a-10l/p/N82E16814500411?Description=GTX
12,MSI,GTX 1050,MSI 131207 GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$238.99 (3 Offers)–,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-4g-oc/p/N82E16814137056?Description=GTX
