,brand,model,product_name,price,rating,shipping,url
23,ASUS,RTX 2060,Asus ROG Strix ROG-STRIX-RTX2060S-A8G-EVO-GAMING GeForce RTX 2060 SUPER Graphic Card - 8GB GDDR6,$604.99 (3 Offers)–,4,$99.99 Shipping,https://www.newegg.com/asus-rog-rtx-2060-super-rog-strix-rtx2060s-a8g-gaming/p/N82E16814126355?Description=rtx
24,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-A6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$599.99 –,5,$99.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-rog-strix-rtx2060-a6g-gaming/p/N82E16814126281?Description=rtx
25,GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SWF2OC-8GD Video Card",$559.99 (3 Offers)–,4,$45.00 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2oc-8gd/p/N82E16814932174?Description=rtx
26,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMING OC-8GD v2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$764.99 –,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206sgaming-oc-8gd-v2-0/p/N82E16814932250?Description=rtx
27,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER DirectX 12 ROG-STRIX-RTX2060S-A8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$674.99 (2 Offers)–,5,$99.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-a8g-gaming/p/N82E16814126333?Description=rtx
28,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMINGOC WHITE-8GD REV2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$599.99 (3 Offers)–,5,$45.00 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206sgamingoc-white-8gd-rev2-0/p/N82E16814932240?Description=rtx
29,ASUS,RTX 2060,Asus GeForce RTX 2060 Turbo 6GB GDDR6 Graphics Card,$494.06 (2 Offers)–,,Free Shipping,https://www.newegg.com/p/1FT-000Y-00448?Description=rtx
30,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060WF2OC-6GD R2 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$404.48 –,,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060wf2oc-6gd-r2/p/1FT-000A-00107?Description=rtx
31,ASUS,RTX 2060,ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),$459.54 (3 Offers)–,4,$31.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-tuf-rtx2060-o6g-gaming/p/N82E16814126311?Description=rtx
32,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$549.99 (2 Offers)–,4,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-o8g-gaming/p/N82E16814126331?Description=rtx
33,ZOTAC,RTX 2060,"ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, ZT-T20600H-10M",$379.90 (2 Offers)–,4,Free Shipping,https://www.newegg.com/zotac-geforce-rtx-2060-zt-t20600h-10m/p/N82E16814500478?Description=rtx
34,GIGABYTE,RTX 2060,"GIGABYTE Geforce RTX 2060 MINI ITX OC 6G Graphics Card, Mini ITX Form Factor, 6GB 192-Bit GDDR6, GV-N2060IXOC-6GD Video Card",$499.99 (2 Offers)–,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060ixoc-6gd/p/N82E16814932117?Description=rtx
35,MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$499.99 –,,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/1FT-0009-002A0?Description=rtx
36,ASUS,RTX 2060,ASUS GeForce RTX 2060 SUPER Overclocked 8G EVO GDDR6 Dual-Fan Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060S-O8G-EVO),$599.99 –,5,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-super-dual-rtx2060s-o8g-evo/p/N82E16814126334?Description=rtx
37,MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$729.99 –,,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-6g/p/1FT-0009-004F0?Description=rtx
38,MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$519.99 –,,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/1FT-0009-00446?Description=rtx
