brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready 
EVGA,GTX 1080,EVGA GeForce GTX 1080 Ti Gaming 11GB GDDR5X iCX Technology - 9 Thermal Sensors & RGB LED G/P/M Graphic Cards (11G-P4-6591-KR),"$1,029.00 –",,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6591-kr/p/1FT-001K-003B7?Description=GTX,,['1582 MHz'],['EVGA'],['3584'],,['NVIDIA'],['Double Fans'],['1480 MHz'],['1 x DVI'],"['November 05, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],"['Featuring a total of 11 global patents (pending and granted), iCX from EVGA is efficiency perfected. With 9 additional sensors embedded on the PCB, a newly designed die\xadcast baseplate and backplate, purposefullydirected airflow chambers, and full control using EVGA Precision XOC, EVGA\'s iCX is the very definition of Interactive Cooling.  With PC gaming growing, it is important to provide ""Peace of Mind Gaming"" to the user. With EVGA\'s new iCX technology, users can have a better understanding of their card\'s operation. This includes temperature monitoring on key components (not just GPU), interaction with other devices and better cooling with asynchronous fan control providing better overclocking capabilities.  With EVGA iCX technology, a new era of PC gaming is here.  iCX Technology - Peace of Mind Gaming - 9 additional temp sensors to monitor memory and PWN - Full monitoring and control with EVGA Precision XOC - Safety fuse to protect components from damage due to improper installation or other component failures - GPU / Memory / PWM Thermal Status Indicator LEDs - Customizable RGB LED']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,,['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6591-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64 bit']",,,['1 x 8-Pin & 1 x 6-Pin'],,['2-Way SLI'],,,,,"['600W or greater power supply PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['250W'],['Yes']
ASUS,GTX 1080,ASUS ROG GeForce GTX 1080 ROG STRIX-GTX1080-O8G-GAMING (90YV09M1-M0NM00) 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,$799.00 –,,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1080-rog-strix-gtx1080-o8g-gaming/p/N82E16814126176?Description=GTX,,['1936 MHz (OC Mode)1898 MHz (Gaming Mode)'],['ASUS'],['2560'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['1784 MHz (OC Mode)1759 MHz (Gaming Mode)'],['1 x DVI-D'],"['November 09, 2018']",,['2 x DisplayPort'],['Yes'],,['10010 MHz'],"['ASUS ROG Strix GeForce GTX 1080 outshines the competition1936 MHz boost clock in OC mode for outstanding performance and gaming experience.DirectCU III with Patented Wing-Blade Fans delivers 30% cooler and 3X quieter performance.ASUS FanConnect features 4-pin GPU-controlled headers connected to system fans for optimal thermal performance.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.Aura RGB Lighting to express personalized gaming style.VR-friendly HDMI ports for immersive virtual reality experiences.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0'],,,['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['ROG STRIX-GTX1080-O8G-GAMING (90YV09M1-M0NM00)'],,['OpenGL 4.5'],,,,"['1 x 6-pin, 1 x 8-pin']",,,['ROG'],,,,,['180W'],['Yes']
NVIDIA,GTX 1080,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080IX-8GD 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support ATX Video Card,$799.00 –,,$9.00 Shipping,https://www.newegg.com/p/27N-001E-00076?Description=GTX,,,,,,,,,,"['October 12, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti FTW3 ELITE GAMING BLUE, 11G-P4-6797-K3, 11GB 12 GHz GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M","$1,250.00 –",,Free Shipping,https://www.newegg.com/p/1FT-001K-003E6?Description=GTX,,,,,,,,,,"['December 14, 2018']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti SC Black Edition GAMING, 11G-P4-6393-KR, 11GB GDDR5X, iCX Cooler & LED","$1,029.00 –",,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6393-kr/p/1FT-001K-003B2?Description=GTX,,['1670 MHz'],['EVGA'],['3584'],,['NVIDIA'],['Double Fans'],['1556 MHz'],['1 x Dual-Link DVI-D'],"['November 05, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11000 MHz'],"['Simultaneous Multi-Projection  VR Ready  NVIDIA Ansel  NVIDIA SLI w/ HB Bridge Support  NVIDIA G-SYNC  NVIDIA GameStream  NVIDIA GPU Boost 3.0  Microsoft DirectX 12  Vulkan API  OpenGL 4.5 Support  PCI Express 3.0  Max Digital Resolution - 7680 x 4320  HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI  Built for EVGA Precision XOC  iCX Cooling  New vented heatsink fin design and pin fins for optimized airflow  Redesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipation']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,,['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6393-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['1 x 6-Pin 1 x 8-Pin'],,['2-Way SLI'],,,,,"['600 Watts or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes']
ASUS,GTX 1080,ROG ROG-STRIX-GTX1080-A8G-11GBPS GeForce GTX 1080 Graphic Card - 1.68 GHz Core - 1.82 GHz Boost Clock - 8 GB GDDR5X - Triple Slot Space Required,$799.00 –,,Free Shipping,https://www.newegg.com/p/1FT-000Y-001A3?Description=GTX,,['1.82 GHz'],['ROG'],,,['NVIDIA'],,['1.68 GHz'],['Yes'],"['November 09, 2018']",,['Yes'],,,,,['Plug-in Card'],['GTX 1080'],,,['Yes'],,,,,['256-Bit'],['8GB'],['GDDR5X'],,,['OpenGL 4.5'],,,,,,,['GTX 10'],,,,,,
EVGA,GTX 1080,"EVGA GeForce GTX 1080 FTW GAMING ACX 3.0 8GB, 08G-P4-6286-KR, GDDR5X, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC) Video Graphics Card",$799.00 –,,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6286-kr/p/1FT-001K-002S0?Description=GTX,,['N/A'],['EVGA'],['2560'],"['10.50"" x 5.06""']",['NVIDIA'],['Double Fans'],['1721 MHz'],['1 x Dual-Link DVI-D'],"['November 05, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],,,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6286-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1080 FTW ACX3.0'],,['2 x 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['500W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['180W'],['Yes']
NVIDIA,GTX 1080,"EVGA GeForce GTX 1080 Ti SC2 Elite Blue Edition GAMING, 11G-P4-6393-KR, 11GB GDDR5X, iCX Cooler & LED Video Graphics Card","$1,150.00 –",,Free Shipping,https://www.newegg.com/p/1FT-0004-003Y7?Description=GTX,,,,,,,,,,"['May 15, 2019']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVGA,GTX 1080,EVGA GeForce GTX 285 for Mac DirectX 10 01G-P3-1080-TR 1GB 512-Bit GDDR3 PCI Express 2.0 x16 HDCP Ready Video Card,$485.00 (1 Offers)–,5,$13.50 Shipping,https://www.newegg.com/evga-geforce-gtx-285-for-mac-01g-p3-1080-tr/p/N82E16814130500?Description=GTX,['Yes'],,['EVGA'],['240'],,['NVIDIA'],['Single Fan'],['648 MHz'],['2 x DVI'],"['May 27, 2019']",['DirectX 10'],,['Yes'],,['2484MHz (effective)'],['Mac OS X Support2nd Generation Unified Shader ArchitectureNvidia CUDA SupportNVIDIA PureVideo HD Technology'],,['GeForce GTX 285 for Mac'],,['Yes'],,['PCI Express 2.0 x16'],['Yes'],,['2560 x 1600'],['512-Bit'],['1GB'],['GDDR3'],['01G-P3-1080-TR'],,,,,"[""01G-P3-1080-TRDriver Installation CDUser's ManualDVI to VGA/D-sub AdapterPower Cable""]",['2 x 6-Pin'],['400MHz'],['No'],,['1476 MHz'],,,['Minimum of a 550 Watt power supply.(Minimum recommended power supply with +12 Volt current rating of 40 Amps.)'],,
EVGA,GTX 1080,"EVGA GeForce GTX 1080 SC GAMING ACX 3.0, 8GB GDDR5X, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6183-RX",$525.00 (2 Offers)–,,$9.99 Shipping,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6183-rx/p/N82E16814487349?Description=GTX,,['1847 MHz'],['EVGA'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1708 MHz'],['1 x Dual-Link DVI-D'],"['January 18, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6183-RX'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['8-Pin'],,['SLI Ready'],,,['Dual Slot'],,"['500 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['180W'],['Yes']
