Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['1695 MHz'],['MSI'],['2176'],"['9.76"" x 5.04""']",['NVIDIA'],['Double Fans'],,,"['November 27, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gpbs'],"['Twin Frozr 7 Thermal DesignTORX Fan 3.0- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.Dragon CenterA consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.']",,['GeForce RTX 2060 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['248 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2060 SUPER GAMING X'],['4'],['OpenGL 4.5'],,,,,['8-Pin'],,['No'],,,['Recommended PSU: 550W'],['175W'],['Yes'],88 (80% Positive)
['1680 MHz'],['EVGA'],['1920'],"['7.48"" x 4.38""']",['NVIDIA'],['Single Fan'],,['1 x Dual-Link DVI-D'],"['January 16, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['NVIDIA AnselReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['190 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['06G-P4-2061-KR'],['3'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,,,['8-Pin'],,['No'],,['2.75 slot'],"['500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['160W'],['Yes'],"2,347 (73% Positive)"
['1755 MHz'],['EVGA'],['1920'],"['10.55"" x 4.38""']",['NVIDIA'],['Double Fans'],,['1 x Dual-Link DVI-D'],"['August 18, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['Real-Time Ray Tracing  NVIDIA GeForce Experience  NVIDIA Ansel  NVIDIA Highlights  NVIDIA G-SYNC Compatible  Game Ready Drivers  Microsoft DirectX 12 API, Vulkan API, OpenGL 4.5  Built for EVGA Precision X1  NVIDIA GPU Boost']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['06G-P4-2067-KR'],['3'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,,,['One available 8-pin PCIe power dongle'],,,,['Dual Slot'],"['500-Watt or greater power supply PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['190W'],['Yes'],486 (90% Positive)
,['GIGABYTE'],['1920'],"['8.88"" x 4.80""']",['NVIDIA'],['WINDFORCE 2X'],['1755 MHz'],,"['August 23, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2060Integrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans90mm unique blade fansProtection back plate'],['ATX'],['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['226 mm'],['7680 x 4320 @ 60 Hz'],['192-Bit'],['6GB'],['GDDR6'],['GV-N2060OC-6GD ver 2.0'],['4'],['OpenGL 4.6'],,,,['Accessories:Quick guideDriver CD'],['8-Pin'],,['No'],,['Dual Slot'],['System PSU Limitation (W): 500'],['160W'],['Yes'],36 (64% Positive)
,['GIGABYTE'],['2176'],"['11.42"" x 5.29""']",['NVIDIA'],['WINDFORCE STACK'],['1845 MHz'],,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2060 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE Stack 3 X 100mm Fan Cooling SystemRGB light reinvented7 Video OutputsMetal Back PlateBuilt for Extreme Overclocking 10+2 Power Phases'],['ATX'],['GeForce RTX 2060 SUPER'],,,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['290 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N206SAORUS-8GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],,"['1 x 6-pin, 1 x 8-pin']",,['No'],['AORUS'],['Triple Slot'],['System PSU Limitation: 550W'],['175W'],['Yes'],247 (72% Positive)
,['GIGABYTE'],['1920'],"['11.04"" x 4.58""']",['NVIDIA'],['WINDFORCE 3X'],['1830 MHz'],,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2060Integrated with 6GB GDDR6 192-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['280 mm'],['7680 x 4320 @ 60 Hz'],['192-Bit'],['6GB'],['GDDR6'],['GV-N2060GAMINGOC PRO-6GD'],['4'],['OpenGL 4.5'],,,,['Accessories:Quick guideDriver CD'],['8-Pin'],,['No'],,['Dual Slot'],['System PSU Limitation (W): 500'],['160W'],,247 (72% Positive)
['1755 MHz'],['EVGA'],['1920'],"['7.48"" x 4.38""']",['NVIDIA'],['Single Fan'],,['1 x Dual-Link DVI-D'],"['August 12, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['NVIDIA AnselHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Microsoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6Supports NVIDIA NVENC Turing Encoder']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['190 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['06G-P4-2063-KR'],['3'],['OpenGL 4.6'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,,,['8-Pin'],,['No'],,['2.75 Slot'],"['500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['160W'],['Yes'],(9)
['OC Mode: 1860 MHzGaming Mode: 1830 MHz'],['ASUS'],['1920'],"['11.81"" x 5.20""']",['NVIDIA'],['Triple Fans'],['1365 MHz'],,"['June 04, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['14000 MHz'],"['OC Edition: Boost Clock 1860 MHz (OC Mode) / 1830 MHz (Gaming Mode).NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['ROG-STRIX-RTX2060-O6G-EVO-GAMING'],['4'],['OpenGL 4.6'],,,,['Accessories:1 x ROG Velcro Hook & Loop1 x Quick Guide'],['8-Pin'],,['No'],['ROG STRIX'],['2.5-slot'],['Recommended PSU: 500W'],['190W'],['Yes'],36 (64% Positive)
['OC Mode: 1755 MHzGaming Mode: 1725 MHz'],['ASUS'],['1920'],"['7.80"" x 4.80""']",['NVIDIA'],['Double Fans'],['1365 MHz'],['1 x DVI-D'],"['October 06, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],,,['14000 MHz'],"['OC Edition: Boost Clock 1755 MHz (OC Mode) / 1725 MHz (Gaming Mode).NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Coolest dual-fan GPU built for the Intel NUC 9 Extreme Kit and Intel NUC 9 Pro Kit.A 2-slot Design maximizes compatibility and cooling efficiency for superior performance in small chassis.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.Auto-Extreme Technology uses automation to enhance reliability.']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['197 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['DUAL-RTX2060-O6G-MINI'],,['OpenGL 4.6'],,,,['Accessories:1 x Speedsetup manual'],['8-Pin'],,['No'],['Dual'],['Dual Slot'],['Recommended PSU: 500W'],,['Yes'],36 (64% Positive)
,['GIGABYTE'],['1920'],,['NVIDIA'],['Triple Fans'],['1830 MHz'],,"['October 14, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],,['ATX'],['GeForce RTX 2060'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['224 mm'],['7680x4320@60Hz'],['192-Bit'],['6GB'],['GDDR6'],['GV-N2060GAMINGOC PRO-6GD Ver 2.0'],['4'],['OpenGL 4.5'],,,,,['8-Pin'],,['No'],,['Dual Slot'],['Recommended PSU: 500W'],['210W'],['Yes'],36 (64% Positive)
