Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
ASUS,768,NVIDIA,Double Fans,1 x DVI-I1 x DVI-D,10/7/2020,NONE,1 x DisplayPort,NONE,GeForce GTX 950,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,124.96799999999999,PCI Express 3.0,219.96400000000003,NONE,128-Bit,2GB,GDDR5,STRIX-GTX950-DC2OC-2GD5-GAMING,OpenGL 4.5,SLI Ready,Dual Slot,GTX 950,1355,1165,6610.0,0.0,79.99,ASUS GeForce GTX 950 STRIX-GTX950-DC2OC-2GD5-GAMING 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,4
MSI,768,NVIDIA,With Fan,1 x Dual-link DVI-I,9/19/2018,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 950,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,116.07799999999999,PCI Express 3.0 x16,254.0,4096 x 2160,128-Bit,2GB,GDDR5,GTX 950 2GD5T OC,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 950,1253,1076,6610.0,10.0,299.0,MSI GeForce GTX 950 DirectX 12 GTX 950 2GD5T OC 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX ARMOR 2X Video Card,4
EVGA,768,NVIDIA,Double Fans,1 x Dual-link DVI-I,12/3/2018,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 950,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0 x16,256.54,Analog: 2048 x 1536Digital: 4096 x 2160,128-Bit,2GB,GDDR5,02G-P4-1953-KR,OpenGL 4.4,SLI Ready,Dual Slot,GTX 950,1190,1025,6610.0,9.0,320.0,EVGA GeForce GTX 950 DirectX 12 02G-P4-1953-KR 2GB 128-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,5
EVGA,768,NVIDIA,Single Fan,1 x Dual-link DVI-I,1/4/2019,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 950,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0 x16,172.72,Analog: 2048 x 1536Digital: 4096 x 2160,128-Bit,2GB,GDDR5,02G-P4-2951-KR,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 950,1342,1152,6610.0,0.0,179.99,"EVGA GeForce GTX 950 02G-P4-2951-KR 2GB GAMING, Silent Cooling Gaming Graphics Card",4
EVGA,768,NVIDIA,Double Fans,1 x Dual-link DVI-I,3/24/2020,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 950,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0 x16,256.54,Analog: 2048 x 1536Digital: 4096 x 2160,128-Bit,2GB,GDDR5,02G-P4-2958-KR,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 950,1405,1203,6610.0,42.0,299.99,"EVGA GeForce GTX 950 02G-P4-2958-KR 2GB FTW GAMING, Silent Cooling Gaming Graphics Card",4
