Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
EVGA,1536,NVIDIA,Single Fan,1 x DVI-I1 x DVI-D,7/9/2020,DirectX 12 (feature level 11_0),1 x DisplayPort,NONE,GeForce GTX 770,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.25200000000001,PCI Express 3.0,266.7,4096 x 2160,256-Bit,2GB,GDDR5,02G-P4-2770-KR,OpenGL 4.3,SLI Ready,Dual Slot,GTX 770,1085,1046,7010.0,6.0,295.0,EVGA 02G-P4-2770-KR G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,5.0
ASUS,1536,NVIDIA,Double Fans,1 x Native Dual-link DVI-I 1 x Native Dual-link DVI-D,5/13/2019,DirectX 11,1 x DisplayPort,Yes,GeForce GTX 770,NVIDIA GeForce GTX 700 Series,1 x HDMI,132.08,PCI Express 3.0,271.78,4096 x 2160,256-Bit,2GB,GDDR5,GTX770-DC2OC-2GD5,OpenGL 4.3,SLI Ready,Dual Slot,GTX 770,1110,1058,7010.0,195.0,299.0,ASUS GTX770-DC2OC-2GD5 G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,4.0
ASUS,1536,NVIDIA,Double Fans,1 x Native Dual-link DVI-I 1 x Native Dual-link DVI-D,12/17/2018,DirectX 11,1 x DisplayPort,Yes,GeForce GTX 770,NVIDIA GeForce GTX 700 Series,1 x HDMI,40.64,PCI Express 3.0,271.78,4096 x 2160,256-Bit,2GB,GDDR5,GTX770-DC2OC-2GD5,OpenGL 4.3,SLI Ready,Dual Slot,GTX 770,1110,1058,7010.0,0.0,275.0,ASUS GeForce GTX 770 DirectX 11 GTX770-DC2OC-2GD5 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,
GIGABYTE,1536,NVIDIA,Triple Fans,1 x DVI-I1 x DVI-D,12/13/2019,DirectX 11,1 x DisplayPort,Yes,GeForce GTX 770,NVIDIA GeForce GTX 700 Series,1 x HDMI,129.032,PCI Express 3.0,292.1,Digital: 4096 X 2160(via a single HDMI connector and not supported with two DVI connectors)Analog: 2048 x 1536,256-Bit,2GB,GDDR5,GV-N770OC-2GD,OpenGL 4.3,SLI Ready,Dual Slot,GTX 770,1189,1137,7000.0,161.0,329.0,GIGABYTE GV-N770OC-2GD G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready WindForce 3X 450W Video Card,4.0
MSI,1536,NVIDIA,Double Fans,1 x Dual-link DVI-I 1 x Dual-link DVI-D,2/6/2019,DirectX 11.1,1 x DisplayPort,Yes,GeForce GTX 770,NVIDIA GeForce GTX 700 Series,1 x HDMI,125.984,PCI Express 3.0,260.096,4096 x 2160,256-Bit,2GB,GDDR5,N770 TF 2GD5/OC,OpenGL 4.3,3-Way SLI,Dual Slot,GTX 770,1198,1137,7010.0,12.0,310.0,MSI Gaming N770 TF 2GD5/OC G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,4.0
MSI,1536,NVIDIA,Double Fans,1 x Dual-link DVI-I 1 x Dual-link DVI-D,7/9/2020,DirectX 11.1,1 x DisplayPort,Yes,GeForce GTX 770,NVIDIA GeForce GTX 700 Series,1 x HDMI,125.984,PCI Express 3.0,260.096,2560 x 1600,256-Bit,4GB,GDDR5,N770 TF 4GD5/OC,OpenGL 4.3,3-Way SLI,Dual Slot,GTX 770,1189,1137,7010.0,34.0,369.0,MSI Gaming N770 TF 4GD5/OC G-SYNC Support GeForce GTX 770 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,5.0
EVGA,1536,NVIDIA,Single Fan,2 x DVI,9/22/2020,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,GeForce GTX 770,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.1504,PCI Express 3.0,266.7,2560 x 1600,256-Bit,2GB,GDDR5,02G-P4-3771-KR,OpenGL 4.3,SLI Ready,Dual Slot,GTX 770,1137,1085,7010.0,29.0,310.0,EVGA 02G-P4-3771-KR G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,5.0
EVGA,1536,NVIDIA,Double Fans,1 x DVI-D 1 x DVI-I,8/19/2020,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,GeForce GTX 770,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.25200000000001,PCI Express 3.0,266.7,4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-3776-KR,OpenGL 4.3,SLI Ready,Dual Slot,GTX 770,1189,1137,7010.0,167.0,,EVGA 04G-P4-3776-KR G-SYNC Support GeForce GTX 770 4GB 256-Bit GDDR5 PCI Express 3.0 SLI Support FTW 4GB Dual w/ EVGA ACX Cooler Video Card,4.0
PNY,1536,NVIDIA,Double Fans,1 x DVI-I 1 x DVI-D,9/19/2020,DirectX 11.1,1 x DisplayPort,Yes,GeForce GTX 770,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.25200000000001,PCI Express 3.0 x16,266.7,4096 x 2160,256-Bit,2GB,GDDR5,VCGGTX7702XPB-OC,OpenGL 4.3,3-Way SLI,Dual Slot,GTX 770,1202,1150,7200.0,0.0,149.99,PNY VCGGTX7702XPB-OC G-SYNC Support GeForce GTX 770 2GB OC 256-bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,4.0
