Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
ASUS,1024,NVIDIA,Double Fans,1 x DVI-I,10/7/2020,NONE,3 x DisplayPort,NONE,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,1 x HDMI,121.15799999999999,PCI Express 3.0,215.138,NONE,128-Bit,4GB,GDDR5,STRIX-GTX960-DC2OC-4GD5,OpenGL 4.4,SLI Ready,NONE,GTX 960,1317,1253,7010.0,0.0,129.99,ASUS GeForce GTX 960 STRIX-GTX960-DC2OC-4GD5 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,5.0
ASUS,1024,NVIDIA,Single Fan,1 x DVI-I,6/26/2019,NONE,3 x DisplayPort,Yes,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,120.904,PCI Express 3.0,264.16,4096 x 2160,128-Bit,2GB,GDDR5,TURBO-GTX960-OC-2GD5,OpenGL 4.4,SLI Ready,Dual Slot,GTX 960,1253,1190,7010.0,21.0,299.0,ASUS GeForce GTX 960 TURBO-GTX960-OC-2GD5 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,4.0
ASUS,1024,NVIDIA,Single Fan,1 x DVI-I,5/28/2020,NONE,3 x DisplayPort 1.2,Yes,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,119.634,PCI Express 3.0,261.62,4096 x 2160,128-Bit,4GB,GDDR5,TURBO-GTX960-OC-4GD5,OpenGL 4.4,SLI Ready,Dual Slot,GTX 960,1253,1190,7010.0,0.0,249.99,ASUS GeForce GTX 960 TURBO-GTX960-OC-4GD5 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,5.0
EVGA,1024,NVIDIA,Double Fans,1 x Dual-Link DVI-I,8/24/2018,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0 x16,256.54,4096 x 2160,128-Bit,2GB,GDDR5,02G-P4-2966-KR,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 960,1342,1279,7010.0,0.0,275.0,"EVGA GeForce GTX 960 2GB SSC GAMING ACX 2.0+, Whisper Silent Cooling Graphics Card 02G-P4-2966-KR",
EVGA,1024,NVIDIA,With Fan,1 x DVI,8/15/2018,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0 x16,256.54,4096 x 2160,128-Bit,4GB,GDDR5,04G-P4-3967-KR,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 960,1342,1279,7010.0,1.0,390.0,"EVGA GeForce GTX 960 04G-P4-3967-KR 4GB SSC GAMING w/ACX 2.0+, w/ Installed Backplate Graphics Card",4.0
EVGA,1024,NVIDIA,Double Fans,1 x Dual-link DVI-I,11/5/2018,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0,256.54,Analog: 2048 x 1536Digital: 4096 x 2160,128-Bit,4GB,GDDR5,04G-P4-3967-KR,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 960,1342,1279,7010.0,113.0,399.0,"EVGA GeForce GTX 960 04G-P4-3967-KR 4GB SSC GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",5.0
PNY,1024,NVIDIA,Single Fan,1 x DVI-I,12/10/2019,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,NONE,110.99799999999999,PCI Express 3.0,241.3,4096 x 2160,128-Bit,2GB,GDDR5,VCGGTX9602XPB-OC-BB,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 960,1266,1203,7010.0,2.0,310.0,PNY GeForce GTX 960 VCGGTX9602XPB-OC-BB 2GB GDDR5 PCI Express 3.0 Video Card,3.0
MSI,1024,NVIDIA,Double Fans,1 x Dual-link DVI-I,3/10/2019,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,138.938,PCI Express 3.0 x16,266.954,4096 x 2160,128-Bit,4GB,GDDR5,GTX 960 GAMING 4G,OpenGL 4.4,2-Way SLI,Dual Slot,GTX 960,1304,1241,7010.0,1.0,340.0,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,4.0
MSI,1024,NVIDIA,Double Fans,1 x DL-DVI-I,3/10/2019,DirectX 12,3 x DisplayPort,Yes,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,1 x HDMI,138.938,PCI Express 3.0 x16,266.954,4096 x 2160,128-Bit,2GB,GDDR5,VDGTX960GM100ME,OpenGL 4.4,2-Way SLI,Dual Slot,GTX 960,1304,1241,7010.0,1.0,355.0,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,5.0
EVGA,1024,NVIDIA,Single Fan,1 x Dual-link DVI-I1 x Dual-link DVI-D,10/3/2018,DirectX 12,1 x DisplayPort 1.2,Yes,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0 x16,172.72,Analog: 2048 x 1536Digital: 4096 x 2160,128-Bit,2GB,GDDR5,02G-P4-2962-KR,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 960,1279,1216,7010.0,50.0,299.0,"EVGA GeForce GTX 960 02G-P4-2962-KR 2GB SC GAMING, Only 6.8 inches, Perfect for mITX Build Graphics Card",5.0
