Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
MSI,2944,NVIDIA,Triple Fans,NONE,"August 30, 2020",DirectX 12,3 x DisplayPort 1.4,NONE,GeForce RTX 2080,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,139.95399999999998,PCI Express 3.0 x16,326.89799999999997,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2080 GAMING X TRIO,OpenGL 4.5,2-Way SLI,NONE,RTX 2080,1860.0,1515.0,14.0,0.0,749.99,MSI GeForce RTX 2080 GAMING X TRIO Video Card,4
ASUS,4352,NVIDIA,Triple Fans,NONE,"October 28, 2020",DirectX 12,2 x DisplayPort 1.4,NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,130.30200000000002,PCI Express 3.0,304.7999999999999,7680 x 4320,352-Bit,11GB,GDDR6,ROG-STRIX-RTX2080TI-11G-GAMING,OpenGL 4.6,SLI Ready,2.7-slot,RTX 2080,1560.0,1350.0,14000.0,883.0,"1,824.97",ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,5
GIGABYTE,3072,NVIDIA,WINDFORCE 3X,NONE,"October 29, 2020",DirectX 12,3 x DisplayPort 1.4,NONE,GeForce RTX 2080 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,114.554,PCI Express 3.0 x16,286.51199999999994,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N208SGAMING OC-8GC rev. 2.0,OpenGL 4.5,2-way NVIDIA NVLINK,2.5 Slot,RTX 2080,0.0,1845.0,15500.0,17.0,"1,072.94","GIGABYTE GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMING OC-8GC Video Card",5
EVGA,4352,NVIDIA,Double Fans,NONE,"October 02, 2020",DirectX 12,3 x DisplayPort 1.4,NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,114.3,PCI Express 3.0,269.23999999999995,7680 x 4320,352-Bit,11GB,GDDR6,11G-P4-2281-RX,OpenGL 4.6,SLI Ready,Dual Slot,RTX 2080,1545.0,1845.0,14000.0,4.0,"1,289.00","EVGA GeForce RTX 2080 Ti BLACK EDITION GAMING, 11G-P4-2281-RX, 11GB GDDR6, Dual HDB Fans & RGB LED",4
MSI,4352,NVIDIA,Triple Fans,NONE,"October 27, 2020",DirectX 12,3 x DisplayPort 1.4,NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,139.95399999999998,PCI Express 3.0 x16,326.89799999999997,7680 x 4320,352-Bit,11GB,GDDR6,RTX 2080 TI GAMING X TRIO,OpenGL 4.5,"NVIDIA NVLINK (SLI-Ready), 2-way",Dual Slot,RTX 2080,1755.0,1350.0,14.0,44.0,"1,852.19",MSI GeForce RTX 2080 TI GAMING X TRIO Video Card,4
ASUS,4352,NVIDIA,Triple Fans,NONE,"October 28, 2020",DirectX 12,2 x DisplayPort 1.4,NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,130.30200000000002,PCI Express 3.0,304.7999999999999,7680 x 4320,352-Bit,11GB,GDDR6,ROG-STRIX-RTX2080TI-O11G-GAMING,OpenGL 4.6,SLI Ready,2.7-slot,RTX 2080,1665.0,1350.0,14000.0,883.0,"1,754.97",ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,4
GIGABYTE,4352,NVIDIA,WINDFORCE 3X,NONE,"October 29, 2020",DirectX 12,3 x DisplayPort 1.4,NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,114.554,PCI Express 3.0 x16,286.51199999999994,7680 x 4320 @ 60 Hz,352-Bit,11GB,GDDR6,GV-N208TGAMING OC-11GC,OpenGL 4.6,2-way NVIDIA NVLINK,2.7-slot,RTX 2080,0.0,1665.0,14000.0,17.0,"1,689.95","GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card",3
MSI,2944,NVIDIA,Double Fans,NONE,"August 31, 2020",DirectX 12,3 x DisplayPort 1.4,NONE,GeForce RTX 2080,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,114.046,PCI Express 3.0 x16,267.97,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2080 VENTUS 8G OC,OpenGL 4.5,2-Way SLI,2.7-slot,RTX 2080,1800.0,1515.0,14.0,0.0,749.99,MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,5
EVGA,4352,NVIDIA,Double Fans,NONE,"May 27, 2020",DirectX 12,3 x DisplayPort 1.4,NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,111.252,PCI Express 3.0,269.748,7680 x 4320,352-Bit,11GB,GDDR6,11G-P4-2383-RX,OpenGL 4.6,2-Way SLI,2.75 Slots,RTX 2080,1650.0,1515.0,14000.0,1.0,999.99,"EVGA GeForce RTX 2080 Ti XC ULTRA GAMING Video Card, 11G-P4-2383-RX, 11GB GDDR6, Dual HDB Fans & RGB LED",3
GIGABYTE,3072,NVIDIA,WINDFORCE 3X,NONE,"October 09, 2020",DirectX 12,3 x DisplayPort 1.4,NONE,GeForce RTX 2080 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,114.046,PCI Express 3.0 x16,286.004,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N208SWF3OC-8GD,OpenGL 4.6,2-way NVIDIA NVLINK,2.5 slot,RTX 2080,0.0,1830.0,15500.0,883.0,954.99,"GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SWF3OC-8GD Video Card",4
