Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
ZOTAC,2432,NVIDIA,Triple Fans,1 x DL-DVI-D,15-Jan-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,148.082,PCI Express 3.0,325.12,7680 x 4320,256-Bit,8GB,GDDR5,ZT-P10710B-10P,OpenGL 4.5,"Yes, SLI HB Bridge Supported",2.5 slots,GTX 1070,1683.0,1607.0,8.0,21.0,680.0,ZOTAC GeForce GTX 1070 Ti DirectX 12 ZT-P10710B-10P 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card - AMP! EXTREME Edition,4.0
MSI,2432,NVIDIA,Double Fans,1 x DVI,16-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,148.082,PCI Express 3.0 x16,325.12,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 Ti GAMING 8G,OpenGL 4.5,2-Way SLI,2.5 slots,GTX 1070,1683.0,1607.0,8008.0,0.0,695.0,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,
ZOTAC,1920,NVIDIA,Dual Fan IceStorm,1 x DL-DVI,16-May-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,148.082,PCI Express 3.0,299.974,7680 x 4320,256-Bit,8GB,GDDR5,ZT-P10700C-10P,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1797.0,1607.0,8000.0,56.0,610.0,"ZOTAC GeForce GTX 1070 AMP! Edition, ZT-P10700C-10P, 8GB GDDR5 IceStorm Cooling, Metal Wraparound Carbon ExoArmor exterior, Ultra-wide 100mm Fans, Spectra Lighting, PowerBoost, FREEZE fan stop",4.0
MSI,2432,NVIDIA,Triple Fans,1 x DL-DVI-D,11-Dec-18,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,148.082,PCI Express 3.0 x16,299.974,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 Ti DUKE 8G,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1683.0,1607.0,8008.0,0.0,969.99,MSI Gaming GeForce GTX 1070 Ti 8GB GDRR5 256-bit HDCP Support DirectX 12 SLI TriFrozr Fan VR Ready Graphics Card (GTX 1070 TI Duke 8G),
MSI,2432,NVIDIA,Single Fan,1 x DL-DVI-D,29-May-19,DirectX 12,3 x DisplayPort,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI,110.99799999999999,PCI Express 3.0 x16,268.986,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 Ti AERO 8G,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1683.0,1607.0,8008.0,0.0,629.0,MSI Gaming GeForce GTX 1070 Ti 8GB GDRR5 256-bit HDCP Support DirectX 12 SLI Single Fan VR Ready Graphics Card (GTX 1070 TI AERO 8G),
PNY,1920,NVIDIA,Single Fan,1 x Dual-link DVI-D,8-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 FE,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,129.79399999999998,PCI Express 3.0 x16,284.988,7680 x 4320,256-Bit,8GB,GDDR5,VCGGTX10708PB-CG,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,1683.0,1506.0,8000.0,1.0,620.0,PNY GeForce GTX 1070 Founders Edition 8GB GDDR5 PCI Express 3.0 Graphics Card VCGGTX10708PB-CG,4.0
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5173-KR,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,0.0,1594.0,8008.0,1.0,620.0,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition, 08G-P4-5173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC) Video Graphics Card",4.0
ASUS,1920,NVIDIA,Double Fans,DVI-D (dual link),18-Jun-19,DirectX 12,2 x DisplayPort,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0,111.25200000000001,PCI Express 3.0 x16,266.7,7680 x 4320,256-Bit,8GB,GDDR5,90YV09T1-M0NA00,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,1771.0,1582.0,8008.0,0.0,620.0,ASUS GeForce GTX 1070 DirectX 12 90YV09T1-M0NA00 8GB 256-Bit GDDR5 PCI Express 3.0 x16 Video Card,
EVGA,1920,NVIDIA,Double Fans,1 x DVI,27-Feb-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5171-KR,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,1683.0,1506.0,8008.0,0.0,620.0,EVGA GeForce GTX 1070 Gaming ACX 3.0 Black Edition Graphic Cards (08G-P4-5171-KR),
NONE,1920,NVIDIA,Double Fans,1 x DVI,16-May-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,NONE,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,0.0,1506.0,8008.0,0.0,670.0,ASUS Cerberus GTX 1070 Ti 8GB GDDR5 Graphics Card (90YV0BJ1-M0NA00),
