Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
MSI,2560,NVIDIA,Double Fans,1 x DL-DVI-D,10/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,127.0,PCI Express 3.0 x16,258.064,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 SUPER VENTUS GP OC,OpenGL 4.5,"NVIDIA NVLINK (SLI-Ready), 2-way",2.5 slot,RTX 2070,1785,1605,14.0,16.0,844.99,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,4.0
EVGA,2560,NVIDIA,Hybrid Cooler,1 x DL-DVI-D,7/12/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,265.684,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-3178-KR,OpenGL 4.5,2-Way SLI,Dual Slot,RTX 2070,1800,1605,14000.0,38.0,949.99,"EVGA GeForce RTX 2070 SUPER XC HYBRID GAMING, 08G-P4-3178-KR, 8GB GDDR6, WATERCOOLED",4.0
GIGABYTE,2304,NVIDIA,WINDFORCE 2X,1 x DL-DVI-D,10/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,120.65,PCI Express 3.0 x16,264.922,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N2070WF2-8GD,OpenGL 4.5,No,Dual Slot,RTX 2070,0,1620,14000.0,247.0,794.98,GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF2-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,4.0
MSI,2304,NVIDIA,Double Fans,1 x DL-DVI-D,10/27/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,139.954,PCI Express 3.0 x16,294.894,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 ARMOR 8G,OpenGL 4.5,No,Dual Slot,RTX 2070,1620,1410,14.0,247.0,999.99,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,4.0
ASUS,2304,NVIDIA,Triple Fans,1 x DL-DVI-D,7/6/2020,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,130.556,PCI Express 3.0,300.482,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2070-O8G-GAMING,OpenGL 4.6,No,2.5-slot,RTX 2070,1845,1410,14000.0,0.0,569.99,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,3.0
NONE,2304,NVIDIA,Triple Fans,1 x DL-DVI-D,10/18/2020,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,NONE,130.556,PCI Express 3.0,300.482,7680 x 4320,256-Bit,8GB,GDDR6,NONE,OpenGL 4.6,No,2.5-slot,RTX 2070,0,1410,14000.0,0.0,684.99,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,
MSI,2304,NVIDIA,Double Fans,1 x DL-DVI-D,10/27/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,154.94,PCI Express 3.0 x16,309.118,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 ARMOR 8G OC,OpenGL 4.5,No,2.5-slot,RTX 2070,1740,1410,14.0,247.0,"1,249.49",MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,4.0
ASUS,2304,NVIDIA,Triple Fans,1 x DL-DVI-D,8/20/2020,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,130.556,PCI Express 3.0,300.482,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2070-8G-GAMING,OpenGL 4.5,No,2.5-slot,RTX 2070,1650,1410,14000.0,40.0,"1,999.99",ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,4.0
EVGA,2304,NVIDIA,Double Fans,1 x DL-DVI-D,7/20/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,269.748,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-2172-KR,OpenGL 4.5,No,Dual Slot,RTX 2070,1710,1410,14000.0,73.0,869.99,"EVGA GeForce RTX 2070 XC GAMING, 08G-P4-2172-KR, 8GB GDDR6, Dual HDB Fans & RGB LED",3.0
ASUS,2560,NVIDIA,Double Fans,1 x DL-DVI-D,10/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,119.38,PCI Express 3.0 x16,266.7,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070S-A8G-EVO,OpenGL 4.6,SLI Ready,2.7 slot,RTX 2070,1815,1635,14000.0,883.0,734.59,ASUS Dual GeForce RTX 2070 SUPER DUAL-RTX2070S-A8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,4.0
