Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
GIGABYTE,768,NVIDIA,Single Fan,1 x Dual-Link DVI-D,25-Oct-16,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,113.03,PCI Express 3.0 x16,171.958,7680 x 4320,128-Bit,4GB,GDDR5,GV-N105TD5-4GD,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1430.0,1316.0,7008.0,965.0,159.99,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Video Cards,5.0
GIGABYTE,768,NVIDIA,WINDFORCE 2X,1 x Dual-Link DVI-D,25-Oct-16,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,110.99799999999999,PCI Express 3.0 x16,191.00799999999998,7680 x 4320,128-Bit,4GB,GDDR5,GV-N105TOC-4GD,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1455.0,1341.0,7008.0,965.0,159.99,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,4.0
MSI,768,NVIDIA,Double Fans,1 x DL-DVI-D,15-Mar-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,112.014,PCI Express 3.0 x16,214.88400000000001,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti 4GT OC,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1455.0,1341.0,7008.0,402.0,159.99,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,4.0
EVGA,768,NVIDIA,Single Fan,1 x Dual-Link DVI-D,17-May-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,144.78,7680 x 4320,128-Bit,4GB,GDDR5,04G-P4-6253-KR,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1468.0,1354.0,7010.0,102.0,679.99,"EVGA GeForce GTX 1050 Ti SC GAMING, 04G-P4-6253-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",5.0
MSI,768,NVIDIA,Double Fans,1 x DL DVI-D,8-Apr-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,131.064,PCI Express 3.0 x16,229.108,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti GAMING 4G,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1430.0,1316.0,7008.0,1.0,227.55,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,5.0
EVGA,640,NVIDIA,ACX 2.0 Single Fan,1 x Dual-Link DVI-D,12-Nov-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,144.78,7680 x 4320,128-Bit,2GB,GDDR5,02G-P4-6150-KR,OpenGL 4.5,NONE,Dual Slot,GTX 1050,0.0,1354.0,7008.0,39.0,327.0,"EVGA GeForce GTX 1050 GAMING, 02G-P4-6150-KR, 2GB GDDR5, DX12 OSD Support (PXOC)",5.0
ASUS,768,NVIDIA,Double Fans,1 x DVI-D,13-Mar-20,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,114.3,PCI Express 3.0,203.2,7680 x 4320,128-Bit,4GB,GDDR5,CERBERUS-GTX1050TI-O4G,OpenGL 4.5,NONE,Dual Slot,GTX 1050,0.0,1366.0,7008.0,13.0,210.48,"ASUS Cerberus GeForce GTX 1050 Ti 4GB OC Edition GDDR5 Gaming Graphics Card, CERBERUS-GTX1050TI-O4G",4.0
EVGA,768,NVIDIA,Double Fans,1 x Dual-Link DVI-D,30-Jun-20,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,228.6,7680 x 4320,128-Bit,4GB,GDDR5,04G-P4-6255-KR,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1480.0,1366.0,7010.0,292.0,327.49,"EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0, 04G-P4-6255-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",5.0
ASUS,768,NVIDIA,Double Fans,2 x Native DVI-D,3-Apr-19,DirectX 12,1 x Native DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x Native HDMI 2.0,129.032,PCI Express 3.0,241.046,7680 x 4320,128-Bit,4GB,GDDR5,STRIX-GTX1050TI-O4G-GAMING,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1506.0,1392.0,7008.0,24.0,454.99,ASUS ROG GeForce GTX 1050 Ti STRIX-GTX1050TI-O4G-GAMING 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,5.0
ZOTAC,768,NVIDIA,Single Fan,1 x DL-DVI-D,22-Nov-18,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,144.78,7680 x 4320,128-Bit,4GB,GDDR5,ZT-P10510A-10L,OpenGL 4.5,No,Dual Slot,GTX 1050,1417.0,1303.0,7.0,68.0,309.49,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Mini Video Card,5.0
MSI,768,NVIDIA,Single Fan,1 x DL-DVI-D,26-Oct-20,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,118.11,PCI Express 3.0 x16,177.03799999999995,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti 4G OC,OpenGL 4.5,No,Dual Slot,GTX 1050,1455.0,1341.0,7008.0,17.0,238.99,MSI 131207 GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,5.0
PNY,768,NVIDIA,Single Fan,1 x DL-DVI-D,24-Mar-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.76,PCI Express 3.0 x16,165.862,7680 x 4320,128-Bit,4GB,GDDR5,VCGGTX1050T4PB,OpenGL 4.5,No,Dual Slot,GTX 1050,1392.0,1290.0,7.0,0.0,298.91,PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4PB 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,
ASUS,768,NVIDIA,Double Fans,1 x DVI-D,12-Mar-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,114.3,PCI Express 3.0,203.2,7680 x 4320,128-Bit,4GB,GDDR5,CERBERUS-GTX1050TI-O4G,OpenGL 4.5,No,Dual Slot,GTX 1050,0.0,1366.0,7008.0,17.0,350.99,"ASUS Cerberus GeForce GTX 1050 Ti 4GB GDDR5 Gaming Graphics Card, CERBERUS-GTX1050TI-A4G",
EVGA,768,NVIDIA,Single Fan,1 x DVI,20-Aug-20,DirectX 12,1 x DisplayPort,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI,114.3,PCI Express 3.0 x16,203.2,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti,OpenGL 4.5,No,Dual Slot,GTX 1050,0.0,1366.0,7008.0,0.0,199.0,EVGA GeForce GTX 1050 Ti SC 4GB GDDR5 04G-P4-6253-KR Video Graphic Card GPU,
MSI,768,NVIDIA,Single Fan,1 x DL-DVI-D,28-Mar-20,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,131.064,PCI Express 3.0 x16,229.108,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti GAMING X 4G,OpenGL 4.5,No,Dual Slot,GTX 1050,1493.0,1379.0,7108.0,0.0,219.99,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,
MSI,768,NVIDIA,Double Fans,1 x DL-DVI-D,24-Dec-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,69.08800000000001,PCI Express 3.0 x16,182.118,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 TI 4GT LP,OpenGL 4.5,No,Dual Slot,GTX 1050,1392.0,1290.0,7008.0,0.0,219.99,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card,
MSI,768,NVIDIA,Double Fans,1 x DL-DVI-D,9-Sep-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,112.014,PCI Express 3.0 x16,214.88400000000001,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti 4GT OC,OpenGL 4.5,No,Dual Slot,GTX 1050,1455.0,1341.0,7008.0,0.0,179.0,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,
ONDA,768,NVIDIA,Single Fan,1 x DVI,24-Jun-20,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI,112.014,PCI Express 3.0 x16,214.88400000000001,5120 x 3200,128-Bit,4GB,GDDR5,1050TI GAMING 4GD5,OpenGL 4.5,No,Dual Slot,GTX 1050,0.0,1392.0,7008.0,883.0,153.89,ONDA GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4GD5 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Standard ATX Video Card Gaming Graphics Card GTX 1050TI GPU,
ZOTAC,640,NVIDIA,Single Fan,1 x DL-DVI,5-May-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,144.78,7680 x 4320,128-Bit,2GB,GDDR5,ZT-P10500A-10L,OpenGL 4.5,No,Dual Slot,GTX 1050,1455.0,1354.0,7.0,167.0,,ZOTAC GeForce GTX 1050 DirectX 12 ZT-P10500A-10L 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Mini Video Card,4.0
ASUS,768,NVIDIA,Double Fans,1 x DVI-D (Native),7-Oct-20,DirectX 12,1 x DisplayPort (Native),Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0 (Native),114.046,PCI Express 3.0,212.09,7680 x 4320,128-Bit,4GB,GDDR5,DUAL-GTX1050TI-O4G,OpenGL 4.5,No,Dual Slot,GTX 1050,1455.0,1341.0,7008.0,167.0,,ASUS GeForce GTX 1050 Ti DirectX 12 DUAL-GTX1050TI-O4G 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4.0
ASUS,768,NVIDIA,Single Fan,1 x Native DVI-D,13-Apr-17,DirectX 12,1 x Native DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x Native HDMI 2.0,110.99799999999999,PCI Express 3.0,192.024,7680 x 4320,128-Bit,4GB,GDDR5,PH-GTX1050TI-4G,OpenGL 4.5,No,Dual Slot,GTX 1050,1392.0,1290.0,7008.0,0.0,132.99,ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G),
MSI,768,NVIDIA,Double Fans,1 x DL-DVI-D,9-Sep-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,112.014,PCI Express 3.0 x16,214.88400000000001,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti 4GT OC,OpenGL 4.5,No,Dual Slot,GTX 1050,1455.0,1341.0,7008.0,0.0,179.0,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,
MSI,768,NVIDIA,Double Fans,1 x DL-DVI-D,9-Sep-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,112.014,PCI Express 3.0 x16,214.88400000000001,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti 4GT OC,OpenGL 4.5,No,Dual Slot,GTX 1050,1455.0,1341.0,7008.0,0.0,179.0,MSI GeForce GTX 1050 Ti 4GB DirectX 12 GTX 1050 Ti 4GT OC 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Graphics Card,
MSI,768,NVIDIA,Double Fans,1 x DVI,9-Sep-19,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,112.014,PCI Express 3.0 x16,214.88400000000001,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti 4GT OC,OpenGL 4.5,No,Dual Slot,GTX 1050,0.0,1341.0,7008.0,0.0,179.0,MSI Gaming GeForce GTX 1050 Ti 4GB GDRR5 128-bit HDCP Support DirectX 12 Dual Fan OC Graphics Card (GTX 1050 TI 4GT OC),
