Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
EVGA,896,NVIDIA,Double Fans,1 x Dual-Link DVI-D,7/22/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,202.18400000000003,7680 x 4320,128-Bit,4GB,GDDR6,04G-P4-1457-KR,OpenGL 4.6,No,Dual Slot,GTX 1650,1740,0,12000.0,401.0,169.99,"EVGA GeForce GTX 1650 KO ULTRA GDDR6 GAMING, 04G-P4-1457-KR, 4GB GDDR6, Dual Fan, Metal Backplate",5.0
ASUS,1280,NVIDIA,Double Fans,1 x Dual-Link DVI-D,12/25/2019,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce GTX 1650 SUPER,NVIDIA GeForce GTX 16 Series,2 x HDMI 2.0b,129.54,PCI Express 3.0,243.84,7680 x 4320,128-Bit,4GB,GDDR6,ROG-STRIX-GTX1650S-A4G-GAMING,OpenGL 4.6,No,2.4 slot,GTX 1650,1770,1530,12002.0,13.0,189.99,ASUS ROG Strix GeForce GTX 1650 SUPER Advanced 4GB Edition GDDR6 HDMI 2.0 DP 1.4 Gaming Graphics Card (ROG-STRIX-GTX1650S-A4G-GAMING),5.0
ASUS,896,NVIDIA,Double Fans,1 x DVI-D,8/25/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,124.96799999999999,PCI Express 3.0,205.99400000000003,7680 x 4320,128-Bit,4GB,GDDR6,TUF-GTX1650-O4GD6-P-GAMING,OpenGL 4.6,No,2.3 slot,GTX 1650,1755,1410,12.0,2.0,159.99,ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-P-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,3.0
GIGABYTE,896,NVIDIA,WINDFORCE 2X,1 x DVI-D,8/4/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,115.06200000000001,PCI Express 3.0 x16,191.00799999999998,7680 x 4320 @ 60 Hz,128-Bit,4GB,GDDR6,GV-N1656WF2OC-4GD (rev. 2.0),OpenGL 4.6,No,Dual Slot,GTX 1650,0,1650,12000.0,2.0,169.99,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD (rev. 2.0) 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,3.0
ASUS,1280,NVIDIA,Single Fan,1 x DVI-D,11/22/2019,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650 SUPER,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,120.904,PCI Express 3.0,173.99,7680 x 4320,128-Bit,4GB,GDDR6,PH-GTX1650S-O4G,OpenGL 4.6,No,Dual Slot,GTX 1650,1770,1530,12002.0,16.0,164.99,ASUS GeForce GTX 1650 SUPER Overclocked 4GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1650S-O4G),4.0
GIGABYTE,896,NVIDIA,WINDFORCE 2X,1 x DVI-D,4/2/2019,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,2 x HDMI 2.0b,112.014,PCI Express 3.0 x16,191.00799999999998,7680 x 4320 @ 60 Hz,128-Bit,4GB,GDDR5,GV-N1650OC-4GD,OpenGL 4.6,No,Dual Slot,GTX 1650,0,1710,8002.0,964.0,159.99,"GIGABYTE GeForce GTX 1650 OC 4G Graphics Card, 2 x WINDFORCE Fans, 4GB 128-Bit GDDR5, GV-N1650OC-4GD Video Card",4.0
MSI,896,NVIDIA,Double Fans,1 x DVI-D,5/28/2020,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,127.0,PCI Express 3.0 x16,245.11,7680 x 4320,128-Bit,4GB,GDDR6,GTX 1650 D6 GAMING X,OpenGL 4.6,No,Dual Slot,GTX 1650,1725,1710,12.0,5.0,187.88,MSI GeForce GTX 1650 DirectX 12 GTX 1650 D6 GAMING X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,5.0
ASUS,896,NVIDIA,Double Fans,1 x DVI-D,8/28/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,124.714,PCI Express 3.0,204.47,7680 x 4320,128-Bit,4GB,GDDR6,TUF-GTX1650-O4GD6-GAMING,OpenGL 4.6,No,2.3 slot,GTX 1650,1650,1410,12.0,0.0,159.99,ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,
MSI,896,NVIDIA,Double Fans,1 x DVI-D,10/19/2020,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,127.0,PCI Express 3.0 x16,245.11,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1650 GAMING X 4G,OpenGL 4.5,No,Dual Slot,GTX 1650,1860,1410,8.0,247.0,178.44,MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,5.0
MSI,1280,NVIDIA,Double Fans,1 x DVI-D,12/18/2019,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1650 SUPER,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,127.0,PCI Express 3.0 x16,247.90400000000002,7680 x 4320,128-Bit,4GB,GDDR6,GTX 1650 Super Gaming X,OpenGL 4.6,No,Dual Slot,GTX 1650,1755,1410,12.0,247.0,202.44,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Gaming X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,5.0
EVGA,896,NVIDIA,Double Fans,1 x DVI-D,4/14/2020,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,202.18400000000003,7680 x 4320,128-Bit,4GB,GDDR6,04G-P4-1257-KR,OpenGL 4.6,No,Dual Slot,GTX 1650,1710,1410,12000.0,401.0,194.3,"EVGA GeForce GTX 1650 SC ULTRA GAMING GDDR6, 04G-P4-1257-KR, 4GB GDDR6, Dual Fan, Metal Backplate",5.0
GIGABYTE,896,NVIDIA,WINDFORCE 2X,1 x DVI-D,8/17/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,112.014,PCI Express 3.0 x16,191.00799999999998,7680 x 4320 @ 60 Hz,128-Bit,4GB,GDDR6,GV-N1656WF2OC-4GD,OpenGL 4.6,No,Dual Slot,GTX 1650,0,1710,12000.0,401.0,189.69,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,4.0
ASUS,896,NVIDIA,Single Fan,1 x DVI-D,12/20/2019,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,109.98200000000001,PCI Express 3.0,189.99200000000002,7680 x 4320,128-Bit,4GB,GDDR5,PH-GTX1650-O4G,OpenGL 4.5,No,Dual Slot,GTX 1650,1710,1485,8002.0,16.0,178.47,ASUS GeForce GTX 1650 4GB Phoenix Fan Overclocked Edition HDMI DP DVI Graphics Card (PH-GTX1650-O4G),4.0
GIGABYTE,896,NVIDIA,WINDFORCE 2X,1 x DVI-D,10/16/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650 SUPER,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,119.126,PCI Express 3.0 x16,225.044,7680 x 4320 @ 60 Hz,128-Bit,4GB,GDDR6,GV-N165SWF2OC-4GD,OpenGL 4.6,No,Dual Slot,GTX 1650,0,1755,12000.0,94.0,309.99,"GIGABYTE GeForce GTX 1650 SUPER WINDFORCE OC 4G Graphics Card, 2 x WINDFORCE Fans, 4GB 128-Bit GDDR6, GV-N165SWF2OC-4GD Video Card",4.0
ASUS,896,NVIDIA,Double Fans,1 x DVI-D,10/14/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,123.95200000000001,PCI Express 3.0,199.898,7680 x 4320,128-Bit,4GB,GDDR6,DUAL-GTX1650-O4GD6-MINI,OpenGL 4.6,No,Dual Slot,GTX 1650,1650,1410,12.0,8.0,154.99,ASUS Dual GeForce GTX 1650 DUAL-GTX1650-O4GD6-MINI 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,
ASUS,896,NVIDIA,Single Fan,1 x DVI-D,8/31/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,125.984,PCI Express 3.0,173.99,7680 x 4320,128-Bit,4GB,GDDR6,PH-GTX1650-O4GD6,OpenGL 4.6,No,Dual Slot,GTX 1650,1635,1410,12.0,8.0,149.99,ASUS Phoenix GeForce GTX 1650 PH-GTX1650-O4GD6 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,5.0
MSI,896,NVIDIA,Single Fan,1 x DL-DVI-D,9/19/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,110.99799999999999,PCI Express 3.0 x16,169.926,7680 x 4320,128-Bit,4GB,GDDR6,GTX 1650 D6 AERO ITX OC,OpenGL 4.6,No,Dual Slot,GTX 1650,1620,1410,12.0,10.0,172.44,MSI GeForce GTX 1650 DirectX 12 GTX 1650 D6 AERO ITX OC 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready ITX Video Card,5.0
ZOTAC,896,NVIDIA,Single Fan,Dual Link DVI-D,7/6/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,150.876,7680 x 4320,128-Bit,4GB,GDDR6,ZT-T16520F-10L,OpenGL 4.6,No,Dual Slot,GTX 1650,1620,1410,12.0,247.0,228.99,"ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card, Super Compact, ZT-T16520F-10L",5.0
ASUS,896,NVIDIA,Double Fans,1 x DVI-D,10/19/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,115.06200000000001,PCI Express 3.0,203.96200000000002,7680 x 4320,128-Bit,4GB,GDDR5,DUAL-GTX1650-O4G,OpenGL 4.6,No,Dual Slot,GTX 1650,1755,1515,8002.0,15.0,319.99,ASUS GeForce GTX 1650 Overclocked 4GB Dual-fan Edition HDMI DP 1.4 DVI Graphics Card (DUAL-GTX1650-O4G),5.0
MSI,1280,NVIDIA,Double Fans,1 x DL-DVI-D,12/4/2019,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650 SUPER,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,115.06200000000001,PCI Express 3.0 x16,180.08599999999996,7680 x 4320,128-Bit,4GB,GDDR6,GTX 1650 Super Ventus XS OC,OpenGL 4.6,No,Dual Slot,GTX 1650,1740,1515,12.0,16.0,244.85,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Ventus XS OC 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,5.0
MSI,896,NVIDIA,Double Fans,1 x DL-DVI-D,6/16/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,110.99799999999999,PCI Express 3.0 x16,177.03799999999995,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1650 VENTUS XS 4G OC,OpenGL 4.5,No,Dual Slot,GTX 1650,1740,1515,8.0,6.0,222.22,MSI GeForce GTX 1650 DirectX 12 GTX 1650 VENTUS XS 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,4.0
MSI,896,NVIDIA,Double Fans,1 x DL-DVI-D,1/16/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1650,NVIDIA GeForce GTX 16 Series,1 x HDMI 2.0b,110.99799999999999,PCI Express 3.0 x16,177.03799999999995,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1650 VENTUS XS 4G OC,OpenGL 4.5,No,Dual Slot,GTX 1650,1740,1515,8.0,247.0,173.47,MSI GeForce GTX 1650 DirectX 12 GTX 1650 VENTUS XS 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,4.0
