Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
EVGA,3584,NVIDIA,Triple Fans,1 x Dual-Link DVI-D,10/22/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,142.748,PCI Express 3.0,299.72,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6696-KR,OpenGL 4.6,SLI Ready,Dual Slot,GTX 1080,1683,1569,11016.0,291.0,"1,029.00","EVGA GeForce GTX 1080 Ti FTW3 GAMING, 11G-P4-6696-KR, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M",5.0
EVGA,2560,NVIDIA,Double Fans,1 x Dual-Link DVI-D,10/3/2018,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5X,08G-P4-6183-KR,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1080,0,1708,10000.0,46.0,779,"EVGA GeForce GTX 1080 SC GAMING ACX 3.0, 08G-P4-6183-KR, 8GB GDDR5X, LED, DX12 OSD Support (PXOC)",5.0
ASUS,2560,NVIDIA,Triple Fans,1 x Native DVI-D,11/9/2018,DirectX 12,2 x Native DisplayPort 1.4,Yes,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,2 x Native HDMI 2.0,134.112,PCI Express 3.0,297.942,7680 x 4320,256-Bit,8GB,GDDR5X,STRIX-GTX1080-A8G-GAMING,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1080,1835,1695,10010.0,140.0,799,ASUS ROG GeForce GTX 1080 STRIX-GTX1080-A8G-GAMING 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,4.0
MSI,2560,NVIDIA,Double Fans,1 x DL-DVI-D,12/20/2018,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,139.954,PCI Express 3.0 x16,278.892,7680 x 4320,256-Bit,8GB,GDDR5X,GTX 1080 GAMING X 8G,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1080,1847,1708,10108.0,140.0,799,MSI GeForce GTX 1080 DirectX 12 GTX 1080 GAMING X 8G 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,4.0
ASUS,3584,NVIDIA,Single Fan,1 x DL-DVI-D,11/9/2018,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,352-Bit,11GB,GDDR5X,TURBO-GTX1080TI-11G,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1080,1582,1480,11010.0,20.0,"1,029.00",ASUS GeForce GTX 1080 Ti DirectX 12 TURBO-GTX1080TI-11G 11GB 352-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,4.0
EVGA,3584,NVIDIA,Single Fan,1 x DL-DVI-D,10/26/2018,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1080 Ti FE,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,269.24,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6390-KR,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1080,1582,1480,11016.0,88.0,"1,099.00",EVGA GeForce GTX 1080 Ti FE DirectX 12 11G-P4-6390-KR 11GB 352-Bit GDDR5X PCI Express 3.0 SLI Support FOUNDERS EDITION Video Card,5.0
NVIDIA,2560,NVIDIA,Single Fan,1 x DL-DVI-D,10/4/2018,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1080 Ti FE,NVIDIA GeForce GTX 10 Series,NONE,111.25200000000001,PCI Express 3.0,269.24,7680 x 4320,256-Bit,8GB,GDDR5X,NVIDIA 900-1G413-2500-00,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1080,1733,1607,11016.0,4.0,799,"NVIDIA GeForce GTX 1080 Founders Edition, 8GB GDDR5X PCI Express 3.0 Graphics Card",4.0
EVGA,2560,NVIDIA,Double Fans,1 x Dual-Link DVI-D,10/26/2018,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,128.524,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5X,08G-P4-6286-KR,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1080,1860,1721,10000.0,375.0,799,"EVGA GeForce GTX 1080 FTW GAMING ACX 3.0, 08G-P4-6286-KR, 8GB GDDR5X, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC)",5.0
EVGA,3584,NVIDIA,Triple Fans,1 x DVI,3/10/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,142.748,PCI Express 3.0,299.72,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6696-KR,OpenGL 4.6,SLI Ready,Dual Slot,GTX 1080,0,1569,11016.0,291.0,949.99,"EVGA GeForce GTX 1080 Ti FTW3 GAMING, 11G-P4-6696-KR, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M (OEM Edition)",
GIGABYTE,2560,NVIDIA,WINDFORCE 3X,1 x Dual-Link DVI-D,11/16/2018,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,114.046,PCI Express 3.0 x16,279.908,7680 x 4320,256-Bit,8GB,GDDR5X,GV-N1080WF3OC-8GD,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1080,1797,1657,10010.0,81.0,799,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080WF3OC-8GD 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support ATX Video Card,4.0
EVGA,2560,NVIDIA,Single Fan,1 x Dual-Link DVI-D,8/1/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,NONE,114.046,PCI Express 3.0 x16,279.908,7680 x 4320,256-Bit,11GB,GDDR5X,NONE,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1080,0,1657,10010.0,3.0,799,EVGA GeForce GTX 1080 Ti Gaming 11GB Video Card 11G-P4-5390-KR Graphics GPU,5.0
