Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
EVGA,2304,NVIDIA,Single Fan,1 x DVI-I1 x DVI-D,6/18/2020,DirectX 11.1,1 x DisplayPort,Yes,GeForce GTX 780,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.76,PCI Express 3.0,266.7,NONE,384-Bit,3GB,GDDR5,03G-P4-2785-RX,OpenGL 4.3,SLI Ready,NONE,GTX 780,993,941,6008.0,0.0,299.0,EVGA SuperClocked GeForce GTX 780 DirectX 11.1 03G-P4-2785-RX 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,
PNY,2304,NVIDIA,Single Fan,1 x DVI-I 1 x DVI-D,1/29/2020,DirectX 11.1,1 x DisplayPort,Yes,GeForce GTX 780,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.25200000000001,PCI Express 3.0 x16,266.7,NONE,384-Bit,3GB,GDDR5,VCGGTX7803XPB,OpenGL 4.3,3-Way SLI,Dual Slot,GTX 780,902,863,6008.0,21.0,495.0,PNY VCGGTX7803XPB G-SYNC Support GeForce GTX 780 3GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,5.0
PNY,2880,NVIDIA,Triple Fans,1 x DVI-D1 x DVI-I,12/10/2019,DirectX 11.2,1 x DisplayPort,Yes,GeForce GTX 780 Ti,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.76,PCI Express 3.0 x16,287.02,4096 x 2160,384-Bit,3GB,GDDR5,VCGGTX780T3XPB-OC,OpenGL 4.4,SLI Ready,Dual Slot,GTX 780,1046,980,7000.0,12.0,395.0,PNY VCGGTX780T3XPB-OC G-SYNC Support GeForce GTX 780 Ti 3GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,5.0
EVGA,2880,NVIDIA,Single Fan,1 x DVI-D1 x DVI-I,11/19/2019,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,GeForce GTX 780 Ti Superclocked,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.25200000000001,PCI Express 3.0,266.7,4096 x 2160,384-Bit,3GB,GDDR5,03G-P4-2883-KR,OpenGL 4.4,SLI Ready,Dual Slot,GTX 780,1046,980,7000.0,71.0,410.0,EVGA 03G-P4-2883-KR G-SYNC Support GeForce GTX 780 Ti Superclocked 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,5.0
EVGA,2880,NVIDIA,Single Fan,1 x DVI-D1 x DVI-I,1/21/2020,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,GeForce GTX 780 Ti,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.25200000000001,PCI Express 3.0,266.7,4096 x 2160,384-Bit,3GB,GDDR5,03G-P4-2881-KR,OpenGL 4.4,SLI Ready,Dual Slot,GTX 780,928,876,7000.0,33.0,429.0,EVGA 03G-P4-2881-KR G-SYNC Support GeForce GTX 780 Ti 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,5.0
EVGA,2880,NVIDIA,EVGA ACX Cooler,1 x DVI-I1 x DVI-D,3/12/2019,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,GeForce GTX 780 Ti Superclocked,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.76,PCI Express 3.0,266.7,4096 x 2160,384-Bit,3GB,GDDR5,03G-P4-2884-KR,OpenGL 4.4,SLI Ready,Dual Slot,GTX 780,1072,1006,7000.0,119.0,410.0,EVGA 03G-P4-2884-KR G-SYNC Support GeForce GTX 780 Ti Superclocked 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support w/EVGA ACX Cooler Video Card,5.0
EVGA,2880,NVIDIA,EVGA ACX Cooler,1 x DVI-D1 x DVI-I,3/7/2019,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,GeForce GTX 780 Ti,NVIDIA GeForce GTX 700 Series,1 x HDMI,149.86,PCI Express 3.0,279.4,4096 x 2160,384-Bit,3GB,GDDR5,03G-P4-2888-KR,OpenGL 4.4,SLI Ready,Dual Slot,GTX 780,1085,1020,7000.0,61.0,479.0,EVGA 03G-P4-2888-KR G-SYNC Support GeForce GTX 780 Ti Dual Classified w/ EVGA ACX Cooler 3GB 384-bit GDDR5 PCI Express 3.0 SLI Support Video Card,5.0
ASUS,2304,NVIDIA,Double Fans,2 x DVI,5/5/2019,DirectX 11.1,1 x DisplayPort,Yes,GeForce GTX 780,NVIDIA GeForce GTX 700 Series,1 x HDMI,147.32,PCI Express 3.0,287.02,4096 x 2160,384-Bit,3GB,GDDR5,GTX780-DC2OC-3GD5,OpenGL 4.3,SLI Ready,Dual Slot,GTX 780,941,889,6008.0,29.0,199.99,ASUS GeForce GTX 780 DirectX 11.1 GTX780-DC2OC-3GD5 3GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,5.0
GIGABYTE,2880,NVIDIA,WINDFORCE 3X,1 x DVI-I1 x DVI-D,10/8/2019,DirectX 11.1,1 x DisplayPort,Yes,GeForce GTX 780 Ti,NVIDIA GeForce GTX 700 Series,1 x HDMI,147.32,PCI Express 3.0,287.02,4096 x 2160,384-Bit,3GB,GDDR5,GV-N78TOC-3GD,OpenGL 4.3,SLI Ready,Dual Slot,GTX 780,1085,1020,7000.0,0.0,395.0,GIGABYTE GeForce GTX 780 Ti GV-N78TOC-3GD 3GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,
EVGA,2304,NVIDIA,Single Fan,1 x DVI-I1 x DVI-D,1/16/2019,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,GeForce GTX 780,NVIDIA GeForce GTX 700 Series,1 x HDMI,111.76,PCI Express 3.0,266.7,4096 x 2160,384-Bit,3GB,GDDR5,03G-P4-2781-KR,OpenGL 4.3,SLI Ready,Dual Slot,GTX 780,902,863,6008.0,29.0,355.0,EVGA 03G-P4-2781-KR G-SYNC Support GeForce GTX 780 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,5.0
