Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,5/26/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,202.18400000000003,7680 x 4320,192-Bit,6GB,GDDR6,06G-P4-2068-KR,OpenGL 4.5,No,Dual Slot,RTX 2060,1755,0,14000.0,7.0,369,"EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate",4.0
EVGA,2176,NVIDIA,Double Fans,1 x Dual-Link DVI-D,7/17/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2060 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,269.748,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-3162-KR,OpenGL 4.5,No,Dual Slot,RTX 2060,1695,0,14000.0,6.0,719.99,"EVGA GeForce RTX 2060 SUPER XC GAMING, 08G-P4-3162-KR, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",5.0
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,3/25/2019,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,267.97,7680 x 4320,192-Bit,6GB,GDDR6,06G-P4-2067-KR,OpenGL 4.6,No,Dual Slot,RTX 2060,1755,0,14000.0,1.0,369.99,"EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans",5.0
ASUS,1920,NVIDIA,Single Fan,1 x DL-DVI-D,1/4/2019,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,120.904,PCI Express 3.0,177.8,7680 x 4320,192-Bit,6GB,GDDR6,PH-RTX2060-6G,OpenGL 4.5,No,Dual Slot,RTX 2060,1710,1365,14000.0,132.0,314.99,ASUS Phoenix GeForce RTX 2060 DirectX 12 PH-RTX2060-6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,4.0
ASUS,2176,NVIDIA,Double Fans,1 x DL-DVI-D,10/28/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce RTX 2060 SUPER,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,129.54,PCI Express 3.0 x16,241.3,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2060S-O8G-EVO-V2,OpenGL 4.6,No,2.5 Slot,RTX 2060,1725,1470,14000.0,883.0,559.99,ASUS Dual GeForce RTX 2060 SUPER DUAL-RTX2060S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready ATX Video Card,4.0
MSI,1920,NVIDIA,Double Fans,1 x DL-DVI-D,1/4/2019,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,129.032,PCI Express 3.0 x16,246.888,7680 x 4320,192-Bit,6GB,GDDR6,RTX 2060 GAMING Z 6G,OpenGL 4.5,No,2.5 Slot,RTX 2060,1830,1470,14.0,400.0,408.49,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,5.0
GIGABYTE,2176,NVIDIA,WINDFORCE 3X,1 x DL-DVI-D,10/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2060 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,116.33200000000001,PCI Express 3.0 x16,280.416,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N206SGAMING OC-8GC,OpenGL 4.5,No,Dual Slot,RTX 2060,0,1815,14000.0,883.0,649.99,"GIGABYTE GeForce RTX 2060 Super GAMING OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SGAMING OC-8GC Video Card",4.0
MSI,2176,NVIDIA,Double Fans,1 x DL-DVI-D,10/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2060 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,127.0,PCI Express 3.0 x16,231.90200000000002,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2060 SUPER VENTUS GP OC,OpenGL 4.5,No,Dual Slot,RTX 2060,1665,1815,14.0,883.0,569.99,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,4.0
ASUS,1920,NVIDIA,Double Fans,1 x DVI-D,10/18/2019,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,130.048,PCI Express 3.0 x16,242.062,7680 x 4320,192-Bit,6GB,GDDR6,DUAL-RTX2060-O6G-EVO,OpenGL 4.5,No,2.5-slot,RTX 2060,1785,1395,14000.0,36.0,358.99,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),5.0
ASUS,1920,NVIDIA,Triple Fans,1 x DVI-D,9/3/2020,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,132.08,PCI Express 3.0,299.974,7680 x 4320,192-Bit,6GB,GDDR6,ROG-STRIX-RTX2060-O6G-GAMING,OpenGL 4.5,No,2.5-slot,RTX 2060,1860,1365,14000.0,37.0,759.99,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,5.0
