Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
PNY,2048,NVIDIA,Double Fans,1 x DVI,1/31/2019,DirectX 12,3 x Mini DisplayPort,Yes,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,1 x mini HDMI,111.25200000000001,PCI Express 3.0 x16,284.48,4096 x 2160,256-Bit,4GB,GDDR5,VCGGTX9804XPB-XP-OC,OpenGL 4.4,SLI Ready,Dual Slot,GTX 980,1329,1228,7200.0,0.0,445.0,PNY VCGGTX9804XPB-XP-OC GeForce GTX 980 4GB XLR8 OC EDITION Graphics Card,
PNY,2048,NVIDIA,Single Fan,1 x DVI,5/9/2019,DirectX 12,3 x Mini DisplayPort,Yes,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,111.25200000000001,PCI Express 3.0 x16,284.48,4096 x 2160,256-Bit,4GB,GDDR5,NONE,OpenGL 4.4,SLI Ready,Dual Slot,GTX 980,0,1228,7200.0,0.0,389.0,PNY GeForce GTX 980 4GB Founders Edition GDDR5 VCGGTX9804XPB-CG Video Card GPU,
ASUS,2048,NVIDIA,With Fan,1 x DVI,7/9/2020,DirectX 12,3 x DisplayPort,Yes,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,1 x HDMI,134.62,PCI Express 3.0,288.5440000000001,4096 x 2160,256-Bit,4GB,GDDR5,NONE,OpenGL 4.4,SLI Ready,Dual Slot,GTX 980,1279,1178,7010.0,0.0,499.0,New Asus NVIDIA Video Card GeForce GTX 980 OC 4 GB GDDR5 DVI/HDMI/3DisplayPort PCI-Express 4GB(SaveMart),
EVGA,2816,NVIDIA,Double Fans,1 x Duallink DVI-I,7/16/2020,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,150.876,PCI Express 3.0,279.4,Analog: 2048 x 1536Digital: 4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4997-RX,OpenGL 4.5,SLI Ready,Dual Slot,GTX 980,1190,1000,7010.0,0.0,395.0,"EVGA GeForce GTX 980 Ti 6GB CLASSIFIED GAMING ACX 2.0+, Whisper Silent Cooling Graphic Card 06G-P4-4997-RX",
EVGA,2816,NVIDIA,Double Fans,1 x Dual-link DVI-I,5/9/2019,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0 x16,266.7,4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4991-RX,OpenGL 4.6,SLI Ready,Dual Slot,GTX 980,1076,1000,7010.0,3.0,399.0,EVGA GeForce GTX 980 Ti DirectX 12 06G-P4-4991-RX 6GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,5.0
ZOTAC,2816,NVIDIA,Triple 90mm IceStorm,1 x DL-DVI,12/28/2018,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0,314.96,4K,384-Bit,6GB,GDDR5,ZT-90503-10P,OpenGL 4.5,4-Way SLI,Dual Slot,GTX 980,1140,1051,7010.0,12.0,,"ZOTAC GeForce GTX 980 Ti 6GB AMP!, ZT-90503-10P",4.0
EVGA,2816,NVIDIA,Double Fans,1 x Dual-link DVI-I,12/18/2018,DirectX 12,3 x DisplayPort 1.2,Yes,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,1 x HDMI 2.0,111.25200000000001,PCI Express 3.0 x16,266.7,Analog: 2048 x 1536Digital: 4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4996-KR,OpenGL 4.5,"2 Way, 3 Way, or 4 Way SLI",Dual Slot,GTX 980,1291,1190,7010.0,77.0,585.0,"EVGA GeForce GTX 980 Ti 06G-P4-4996-KR 6GB FTW GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",5.0
EVGA,2048,NVIDIA,ACX 2.0,1 x DVI-I1 x DVI-D,12/6/2018,DirectX 12,1 x DisplayPort,Yes,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,1 x HDMI,111.25200000000001,PCI Express 3.0 x16,266.7,Max Analog: 2048 x 1536Max Digital: 4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-2986-RX,OpenGL 4.4,SLI Ready,Dual Slot,GTX 980,1380,1279,7010.0,10.0,399.0,EVGA GeForce GTX 980 DirectX 12 04G-P4-2986-RX 4GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support FTW ACX 2.0 Video Card,4.0
EVGA,2048,NVIDIA,Single Fan,1 x DVI,2/14/2019,DirectX 12,3 x DisplayPort,Yes,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,1 x HDMI,111.25200000000001,PCI Express 3.0,266.7,4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-2982-RX,OpenGL 4.4,SLI Ready,Dual Slot,GTX 980,1342,1241,7010.0,0.0,399.0,EVGA GeForce GTX 980 04G-P4-2982-RX 4GB 256-Bit GDDR5 PCI Express 3.0 Superclocked G-SYNC Support Video Card,
EVGA,2048,NVIDIA,EVGA ACX 2.0 Cooling,1 x DVI-I,3/11/2019,DirectX 12,3 x DisplayPort,Yes,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,1 x HDMI,150.876,PCI Express 3.0,279.4,Analog: 2048 x 1536Digital: 4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4998-RX,OpenGL 4.5,SLI Ready,Dual Slot,GTX 980,1291,1190,7010.0,3.0,425.0,"EVGA GeForce GTX 980 Ti 06G-P4-4998-RX 6GB CLASSIFIED GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",4.0
