Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
ASUS,1280,NVIDIA,Double Fans,1 x DVI-D,7-Oct-20,NONE,2 x DisplayPort 1.4,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0b,131.064,PCI Express 3.0,240.03,7680 x 4320,192-Bit,6GB,GDDR5,EX-GTX1060-O6G,OpenGL 4.5,No,Dual Slot,GTX 1060,1809.0,1594.0,8008.0,0.0,249.99,ASUS Expedition GeForce GTX 1060 EX-GTX1060-O6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4.0
EVGA,1280,NVIDIA,Single Fan,1 x Dual-Link DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,172.72,7680 x 4320,192-Bit,6GB,GDDR5,06G-P4-6161-KR,OpenGL 4.5,No,Dual Slot,GTX 1060,1708.0,1506.0,8008.0,292.0,279.99,"EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 06G-P4-6161-KR, 6GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches",4.0
EVGA,1280,NVIDIA,Double Fans,1 x Dual-Link DVI-D,21-May-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,192-Bit,6GB,GDDR5,06G-P4-6267-RX,OpenGL 4.5,No,Dual Slot,GTX 1060,1835.0,1607.0,8008.0,11.0,340.0,"EVGA GeForce GTX 1060 06G-P4-6267-RX 6GB SSC GAMING ACX 3.0, 6GB GDDR5, LED, DX12 OSD Support (PXOC) Graphics Card",4.0
EVGA,1152,NVIDIA,ACX 2.0 Single Fan,1 x Dual-Link DVI-D,18-Jun-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,172.72,7680 x 4320,192-Bit,3GB,GDDR5,03G-P4-6160-KR,OpenGL 4.5,No,Dual Slot,GTX 1060,0.0,1506.0,8008.0,76.0,340.0,"EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 03G-P4-6160-KR, 3GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches",4.0
GIGABYTE,1280,NVIDIA,WINDFORCE 2X,1 x Dual-link DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,114.046,PCI Express 3.0 x16,277.876,7680 x 4320,192-Bit,6GB,GDDR5,GV-N1060G1 GAMING-6GD REV 2.0,OpenGL 4.5,No,Dual Slot,GTX 1060,1847.0,1620.0,8008.0,292.0,427.99,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060G1 GAMING-6GD REV 2.0 6GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,5.0
GIGABYTE,1152,NVIDIA,WINDFORCE 2X,2 x Dual-link DVI-D,22-Oct-20,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,120.904,PCI Express 3.0 x16,223.012,7680 x 4320,192-Bit,3GB,GDDR5,GV-N1060WF2OC-3GD,OpenGL 4.5,No,Dual Slot,GTX 1060,1797.0,1582.0,8008.0,292.0,369.99,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD 3GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,4.0
ZOTAC,1152,NVIDIA,Single Fan,1 x DL-DVI,10-Jul-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,173.99,7680 x 4320,192-Bit,3GB,GDDR5,ZT-P10610A-10L,OpenGL 4.5,No,Dual Slot,GTX 1060,1708.0,1506.0,8.0,34.0,329.0,"ZOTAC GeForce GTX 1060 Mini, ZT-P10610A-10L, 3GB GDDR5 Super Compact",4.0
EVGA,1152,NVIDIA,ACX 2.0 Single Fan,1 x Dual-Link DVI-D,18-Jun-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,172.72,7680 x 4320,192-Bit,3GB,GDDR5,03G-P4-6162-KR,OpenGL 4.6,No,Dual Slot,GTX 1060,1835.0,1607.0,8008.0,89.0,340.0,"EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan), 03G-P4-6162-KR, 3GB GDDR5, DX12 OSD Support (PXOC)",5.0
ASUS,1152,NVIDIA,Double Fans,1 x Native DVI-D,11-Feb-19,DirectX 12,2 x Native DisplayPort 1.4,Yes,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2 x Native HDMI 2.0b,130.048,PCI Express 3.0,242.062,7680 x 4320,192-Bit,3GB,GDDR5,DUAL-GTX1060-O3G,OpenGL 4.5,No,2.1 slots,GTX 1060,1809.0,1594.0,8008.0,73.0,652.99,ASUS Dual GeForce GTX 1060 DirectX 12 DUAL-GTX1060-O3G 3GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4.0
ZOTAC,1280,NVIDIA,Double Fans,1 x DL-DVI-D,9-Sep-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,124.96799999999999,PCI Express 3.0,211.074,7680 x 4320,192-Bit,6GB,GDDR5X,ZT-P10620A-10M,OpenGL 4.5,No,Dual Slot,GTX 1060,1708.0,1506.0,8.0,101.0,489.0,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M 6GB 192-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,4.0
