,brand,model,product_name,price,rating,shipping,url
0,Biostar,RX 550,"Biostar Gaming Radeon RX 550 4GB GDDR5 128-Bit DirectX 12 PCI Express 3.0 DVI-D Dual Link, HDMI, DisplayPort",$93.99 –,4,$9.99 Shipping,https://www.newegg.com/biostar-radeon-rx-550-va5505rf41/p/27N-002J-00007?Description=RX
1,Sapphire,RX 550,Sapphire 11268-15-20G Radeon Pulse RX 550 4GB GDDR5 HDMI / DVI-D / DP (UEFI) PCI-E Graphics Card,$239.99 –,,Free Shipping,https://www.newegg.com/radeon-rx-550-sapphire-11268-15-20g/p/1FT-000B-000M5?Description=RX
2,XFX,RX 550,XFX RX 550 2GB RX-550P2DFG5 DDR5 DD 1203MHz DP HDMI DVI PCI-Express 3.0 Graphics Card,$135.99 –,,Free Shipping,https://www.newegg.com/xfx-radeon-rx-550-rx-550-rx-550p2dfg5/p/1FT-0010-000G9?Description=RX
3,PowerColor,RX 550,PowerColor Radeon RX 550 DirectX 12 AXRX 550 2GBD5-DHA/OC 2GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,$263.99 –,,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-550-axrx-550-2gbd5-dha-oc/p/N82E16814131738?Description=RX
4,GIGABYTE,RX 550,GIGABYTE Radeon RX 550 DirectX 12 GV-RX550D5-2GD REV 2.0 2GB 128-Bit GDDR5 PCI Express 3.0 x8 ATX Video Card,$290.99 –,4,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-550-gv-rx550d5-2gd-rev-2-0/p/N82E16814125968?Description=RX
5,XFX,RX 550,XFX Radeon RX 550 DirectX 12 RX-550P2SFG5 2GB 128-Bit GDDR5 PCI-E Video Card,$143.99 (2 Offers)–,5,Free Shipping,https://www.newegg.com/xfx-radeon-rx-550-rx-550p2sfg5/p/N82E16814150805?Description=RX
6,Sapphire,RX 550,SAPPHIRE Radeon RX 550 DirectX 12 100414P2GL 2GB 128-Bit GDDR5 Video Card,$179.99 –,4,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-550-100414p2gl/p/N82E16814202286?Description=RX
7,ASRock,RX 550,ASRock Phantom Gaming Radeon RX 550 DirectX 12 RX550 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 (Uses x8) HDCP Ready Video Card,$144.94 –,3,Free Shipping,https://www.newegg.com/asrock-radeon-rx-550-rx550-2g/p/N82E16814930001?Description=RX
