,brand,model,product_name,price,rating,shipping,url
19,MSI,RX 580,MSI Radeon RX 580 DirectX 12 RX 580 GAMING X 4G 4GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$299.59 –,4,Free Shipping,https://www.newegg.com/msi-radeon-rx-580-rx-580-gaming-x-4g/p/N82E16814137119?Description=RX
20,MSI,RX 580,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 4G OC 4GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$299.99 (2 Offers)–,4,Free Shipping,https://www.newegg.com/msi-radeon-rx-580-rx-580-armor-4g-oc/p/N82E16814137120?Description=RX
21,XFX,RX 580,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,$269.99 (2 Offers)–,,Free Shipping,https://www.newegg.com/xfx-radeon-rx-580-rx-580p8dfd6/p/27N-0002-000P6?Description=RX
22,ASUS,RX 580,ASUS Radeon RX 580 O4G Dual-fan OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (DUAL-RX580-O4G),$462.87 –,4,Free Shipping,https://www.newegg.com/asus-radeon-rx-580-dual-rx580-o4g/p/N82E16814126196?Description=RX
23,GIGABYTE,RX 580,GIGABYTE AORUS Radeon RX 580 DirectX 12 GV-RX580AORUS-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,$386.99 –,4,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-580-gv-rx580aorus-4gd/p/N82E16814125963?Description=RX
24,GIGABYTE,RX 580,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,$402.99 –,4,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-580-gv-rx580gaming-4gd/p/N82E16814125964?Description=RX
25,GIGABYTE,RX 580,GIGABYTE AORUS Radeon RX 580 DirectX 12 GV-RX580AORUS-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,$428.99 –,4,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-580-gv-rx580aorus-8gd/p/N82E16814125961?Description=RX
26,Sapphire,RX 580,Sapphire Radeon Pulse RX 580 8GB GDDR5 Dual HDMI/ DVI-D/ Dual DP OC with Backplate (UEFI) PCI-E Graphics Card Graphic Cards,$299.99 –,,Free Shipping,https://www.newegg.com/radeon-rx-580-sapphire-tech-11265-05-20g/p/1FT-000B-000M4?Description=RX
27,MSI,RX 580,MSI Video Card RX 580 ARMOR 8G OC 8GB GDDR5 256Bit PCI Express,$314.85 –,,Free Shipping,https://www.newegg.com/msi-rx-580-armor-8g-oc/p/27N-0023-000P2?Description=RX
28,GIGABYTE,RX 580,Refurb Gigabyte Radeon RX 580 Gaming 4GB Graphic Cards GV-RX580GAMING-4GD,$457.87 –,3,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-580-gv-rx580gaming-4gd/p/1B4-0116-00060?Description=RX
29,MSI,RX 580,MSI Radeon RX 580 DirectX 12 Radeon RX 580 8G V1 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$179.99 –,4,Free Shipping,https://www.newegg.com/msi-radeon-rx-580-8g-v1/p/N82E16814137244?Description=RX
30,VisionTek,RX 580,VisionTek Radeon RX 580 DirectX 12 901103 8GB 256-Bit GDDR5 PCI Express 3.0 x16 Overclocked Edition Video Card,$199.99 –,3,Free Shipping,https://www.newegg.com/visiontek-radeon-rx-580-901103/p/N82E16814129327?Description=RX
31,AMD,RX 580,AMD Radeon RX 580 8GB Dual Fan Black/Silver PCIe Video Gaming Graphics Card GPU,$139.99 –,,Free Shipping,https://www.newegg.com/coinmine-radeon-rx-580-grx58000s828g5-grx580coins828g5/p/27N-0018-000S9?Description=RX
