Boost Clock ,Brand ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,Date First Available ,DirectX ,DisplayPort ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Power Connector ,RoHS Compliant ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,TrueAudio Support ,Virtual Reality Ready ,review_numbers
['1546 MHz'],['PowerColor'],"['11.02"" x 5.00""']",['AMD'],['Single Fan'],['1247 MHz'],['Yes'],"['April 14, 2020']",['DirectX 12'],['3 x DisplayPort'],['Memory Speed: 945 MHzMemory Data Rate: 1.89 Gbps'],['Yes'],['AMD XConnect ReadyMicrosoft Windows 10 SupportMicrosoft Windows 7 SupportPremium VR ReadyRadeon ChillRadeon ReLiveUEFI SupportVirtual Super Resolution'],['ATX'],['Radeon RX Vega 64'],['AMD Radeon RX VEGA Series'],['1 x HDMI'],['PCI Express 3.0 x16'],['280 mm'],['4096 x 2160'],['2048-Bit'],['8GB'],['HBM2'],['AXRX VEGA 64 8GBHBM2-3DH'],,['OpenGL 4.5'],['2 x 8-Pin'],,,['Dual Slot'],['4096 Stream Processors'],['Minimum System Power requirement: 750W'],['375W'],['Yes'],['Yes'],(12)
['1546 MHz'],['XFX'],"['11.14"" x 5.12""']",['AMD'],['Single Fan'],['1247 MHz'],['Yes'],"['August 05, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Memory Speed: 945 MHzMemory Data Rate: 1.9 Gbps'],['Yes'],['8GB High Banwidth Cache ( HBM2)Radeon VR Ready PremiumNext-Gen Compute UnitsFreeSync 2 TechnologyRadeon WattmanRadeon ReLiveRadeon Chill3rd Gen FinFET14DirectX 12 OptimizedVulkan OptimizedAMD LiquidVR technologyAMD CrossFire Technology (Bridgeless)----up to 4 GPUsAMD XConnect Ready AMD Eyefinity TechnologyOpenCL SupportAMD Virtual Super Resolution (VSR)'],,['Radeon RX Vega 64'],['AMD Radeon RX VEGA Series'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['283 mm'],['4096 x 2160'],['2048-Bit'],['8GB'],['HBM2'],['RX-VEGMTSFX6'],['4'],,['2 x 8-Pin'],['Yes'],['Silver'],,['4096 Stream Processors'],['Minimum Power Supply Requirement: 750W'],['375W'],,['Yes'],(7)
