,brand,model,product_name,price,rating,shipping,url
0,Sapphire,R9 390,"SAPPHIRE NITRO Radeon R9 390 DirectX 12 100382NTOCL 8GB 512-Bit GDDR5 PCI Express 3.0 2.2 Slot, ATX Tri-X OC Version (UEFI) Video Card",$465.00 –,4,Free Shipping,https://www.newegg.com/sapphire-radeon-r9-390-100382ntocl/p/N82E16814202148?Description=R9
1,PowerColor,R9 390,PowerColor PCS+ AMD Radeon R9 390 8GB GDDR5 2DVI/HDMI/DisplayPort PCI-Express Video Graphics Card,$465.00 –,,Free Shipping,https://www.newegg.com/powercolor-radeon-r9-390-axr9-390-8gbd5-ppdhe/p/27N-000F-00036?Description=R9
2,XFX,R9 390,XFX BLACK Edition Radeon R9 390 DirectX 12 R9-390P-8286 8GB 512-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,$499.00 –,4,Free Shipping,https://www.newegg.com/xfx-radeon-r9-390-r9-390p-8286/p/N82E16814150728?Description=R9
3,GIGABYTE,R9 390,GIGABYTE Radeon R9 390 DirectX 12 GV-R939WF2-8GD (rev. 1.0) 8GB 512-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$499.00 –,3,Free Shipping,https://www.newegg.com/gigabyte-radeon-r9-390-gv-r939wf2-8gd/p/N82E16814125805?Description=R9
4,GIGABYTE,R9 390,Gigabyte AMD R9 390 Graphics Cards GV-R939WF2-8GD (Certified Refurbished),$399.00 –,2,Free Shipping,https://www.newegg.com/gigabyte-radeon-r9-390-gv-r939wf2-8gd/p/N82E16814125855?Description=R9
5,MSI,R9 390,MSI Radeon R9 390 DirectX 12 R9 390 GAMING 8G 8GB 512-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card,$465.00 (1 Offers)–,4,Free Shipping,https://www.newegg.com/msi-radeon-r9-390-r9-390-gaming-8g/p/N82E16814127874?Description=R9
6,Sapphire,R9 390,SAPPHIRE NITRO Radeon R9 390 DirectX 12 100382NTOC-2L 8GB 512-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Tri-X OC Version w/ backplate (UEFI) Video Card,$475.00 –,4,Free Shipping,https://www.newegg.com/sapphire-radeon-r9-390-100382ntoc-2l/p/N82E16814202164?Description=R9
