,brand,model,product_name,price,rating,shipping,url
45,MSI,RTX 2080,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Ventus XS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"$1,077.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-0009-004U0?Description=rtx
46,MSI,RTX 2080,MSI GeForce RTX 2080 Ti 11G DUKE Dark Dragon 1665MHz Cooler Computer Game Gaming Video Card,"$1,799.00 (2 Offers)–",,Free Shipping,https://www.newegg.com/p/1FT-0009-004K2?Description=rtx
47,NVIDIA,RTX 2080,NVIDIA GeForce RTX 2080 Ti Founders Edition 11GB GDDR6 PCI Express 3.0 Graphics Card with PCIe Riser,"$2,059.99 –",5,Free Shipping,https://www.newegg.com/p/1FT-0004-005C1?Description=rtx
48,GIGABYTE,RTX 2080,"GIGABYTE AORUS GeForce RTX 2080 8G Graphics Card, 3 x Stacked WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N2080AORUS-8GC Video Card","$1,021.90 –",3,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-gv-n2080aorus-8gc/p/N82E16814932083?Description=rtx
49,ZOTAC,RTX 2080,"ZOTAC GAMING GeForce RTX 2080 Ti Twin Fan 11GB GDDR6 352-bit Gaming Graphics Card, Active Fan Control, Metal Backplate, Spectra Lighting - ZT-T20810G-10P","$1,799.00 –",,Free Shipping,https://www.newegg.com/zotac-geforce-rtx-2080-ti-zt-t20810g-10p/p/1FT-000M-00199?Description=rtx
50,ZOTAC,RTX 2080,"ZOTAC GAMING GeForce RTX 2080 Ti AMP MAXX 11GB GDDR6 352-bit Gaming Graphics Card, IceStorm 2.0, Factory Overclock, Freeze Fan Stop, Active Fan Control, PowerBoost, Spectra Lighting, ZT-T20810H-10P","$1,799.00 –",,Free Shipping,https://www.newegg.com/zotac-rtx-2080-ti-zt-t20810h-10p/p/N82E16814500450?Description=rtx
51,GIGABYTE,RTX 2080,GIGABYTE GeForce RTX 2080 Ti DirectX 12 GV-N208TTURBO OC-11GC V2 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$2,036.89 (2 Offers)–",4,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tturbo-oc-11gc/p/N82E16814932296?Description=rtx
52,EVGA,RTX 2080,"EVGA GeForce RTX 2080 Ti XC Ultra Gaming, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card 11G-P4-2383-KR","$1,799.00 –",,Free Shipping,https://www.newegg.com/p/231-00BC-000A7?Description=rtx
53,GIGABYTE,RTX 2080,GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208SWF3-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,149.99 (2 Offers)–",3,$99.99 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208swf3-8gd/p/N82E16814932323?Description=rtx
54,PNY,RTX 2080,PNY GeForce RTX 2080 SUPER Graphic Card - 8 GB GDDR6,"$1,099.00 (2 Offers)–",,Free Shipping,https://www.newegg.com/p/N82E16814133797?Description=rtx
55,NVIDIA,RTX 2080,NVIDIA GeForce RTX 2080 Ti Founders Edition 11GB GDDR6 PCI Express 3.0 Graphics Card with Free Forza Horizon 4 Combo,"$2,059.99 –",,Free Shipping,https://www.newegg.com/p/1FT-0004-005C8?Description=rtx
56,ASUS,RTX 2080,ASUS GeForce RTX 2080 SUPER ROG Strix Gaming 8 GB GDDR6 Graphics Card (90YV0DH0-M0NM00),"$1,357.96 –",,$55.00 Shipping,https://www.newegg.com/p/1FT-000Y-004A9?Description=rtx
57,EVGA,RTX 2080,"EVGA 08G-P4-3182-KR GeForce RTX 2080 Super XC Gaming, 8GB GDDR6, RGB LED, Metal Backplate","$2,840.79 –",,Free Shipping,https://www.newegg.com/p/1YF-00D3-00027?Description=rtx
58,ASUS,RTX 2080,Asus Turbo RTX 2080 Super EVO 8GB GDDR6 TURBO-RTX2080S-8G-EVO Gaming Video card,"$1,099.00 –",,Free Shipping,https://www.newegg.com/p/2CX-00B6-00001?Description=rtx
59,PNY,RTX 2080,PNY GeForce RTX 2080 8GB Blower Graphics Card,"$1,099.00 –",,Free Shipping,https://www.newegg.com/pny-geforce-rtx-2080-vcg20808blmpb/p/N82E16814133761?Description=rtx
60,ZOTAC,RTX 2080,ZOTAC NVIDIA GeForce RTX 2080 Twin Fan 8GB GDDR6 HDMI/3DisplayPort/USB Type-C,"$1,027.49 –",,Free Shipping,https://www.newegg.com/zotac-nvidia-geforce-rtx-2080/p/1FT-000M-002E8?Description=rtx
61,ASUS,RTX 2080,ASUS RTX 2080 Ti Dual OC 11GB GDDR6 Graphics Card (90YV0C41-M0NM00),"$1,799.00 (2 Offers)–",,Free Shipping,https://www.newegg.com/p/1FT-000Y-001S4?Description=rtx
62,ASUS,RTX 2080,ASUS Dual GeForce RTX 2080 SUPER DUAL RTX2080S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,070.00 –",,Free Shipping,https://www.newegg.com/p/1FT-000Y-004V1?Description=rtx
63,ASUS,RTX 2080,ASUS ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING),"$1,154.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004W1?Description=rtx
64,MSI,RTX 2080,"MSI GeForce RTX 2080 DUKE 8G OC Graphics Card, PCI-E x16, NVLink and VR Ready","$1,030.00 –",,Free Shipping,https://www.newegg.com/msi-nvidia-geforce-rtx-2080-g2080d8c/p/1FT-0009-00367?Description=rtx
65,GIGABYTE,RTX 2080,Gigabyte GeForce RTX 2080 Ti Turbo 11GB GDDR6 Graphics Card (GV-N208TAORUS T-11GC),"$1,969.90 –",,Free Shipping,https://www.newegg.com/p/1FT-000A-00160?Description=rtx
66,GIGABYTE,RTX 2080,GIGABYTE RTX 2080 TI 11GB GDDR6 GV-N208TWF3-11GC PCI Express 3.0 x16 Video Card,"$1,650.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001C4?Description=rtx
67,EVGA,RTX 2080,"EVGA GeForce RTX 2080 Ti XC Ultra Gaming, 11GB GDDR6, Dual HDB Fans & RGB LED Graphics Card 11G-P4-2383-KR","$1,799.00 –",,Free Shipping,https://www.newegg.com/p/231-00BC-001K4?Description=rtx
68,PNY,RTX 2080,PNY GeForce RTX 2080 SUPER XLR8 Gaming OC 3F 8 GB GDDR6 Graphics Card (VCG20808STFMPB-O),"$1,128.56 –",,$25.00 Shipping,https://www.newegg.com/p/1FT-000P-003P1?Description=rtx
69,GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SWF3OC-8GD Video Card","$1,047.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001C5?Description=rtx
70,MSI,RTX 2080,MSI GeForce RTX 2080 GAMING X TRIO Video Card,"$1,599.99 –",,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2080-rtx-2080-gaming-x-trio/p/1FT-0009-001N0?Description=rtx
