,brand,model,product_name,price,rating,shipping,url
0,EVGA,GTX 770,EVGA 02G-P4-2770-KR G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,$295.00 (1 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-770-02g-p4-2770-kr/p/N82E16814130920?Description=gtx
1,ASUS,GTX 770,ASUS GTX770-DC2OC-2GD5 G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$299.00 (1 Offers)–,4,Free Shipping,https://www.newegg.com/asus-geforce-gtx-770-gtx770-dc2oc-2gd5/p/N82E16814121770?Description=gtx
2,ASUS,GTX 770,ASUS GeForce GTX 770 DirectX 11 GTX770-DC2OC-2GD5 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$275.00 –,,$12.00 Shipping,https://www.newegg.com/asus-geforce-gtx-770-gtx770-dc2oc-2gd5/p/N82E16814121828?Description=gtx
3,GIGABYTE,GTX 770,GIGABYTE GV-N770OC-2GD G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready WindForce 3X 450W Video Card,$329.00 (1 Offers)–,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-770-gv-n770oc-2gd/p/N82E16814125463?Description=gtx
4,MSI,GTX 770,MSI Gaming N770 TF 2GD5/OC G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,,4,$4.49 Shipping,https://www.newegg.com/msi-geforce-gtx-770-n770-tf-2gd5-oc/p/N82E16814127741?Description=gtx
5,MSI,GTX 770,MSI Gaming N770 TF 4GD5/OC G-SYNC Support GeForce GTX 770 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$369.00 (1 Offers)–,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-770-n770-tf-4gd5-oc/p/N82E16814127747?Description=gtx
6,EVGA,GTX 770,EVGA 02G-P4-3771-KR G-SYNC Support GeForce GTX 770 2GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,$310.00 –,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-770-02g-p4-3771-kr/p/N82E16814130939?Description=gtx
7,EVGA,GTX 770,EVGA 04G-P4-3776-KR G-SYNC Support GeForce GTX 770 4GB 256-Bit GDDR5 PCI Express 3.0 SLI Support FTW 4GB Dual w/ EVGA ACX Cooler Video Card,,4,Free Shipping,https://www.newegg.com/evga-geforce-gtx-770-04g-p4-3776-kr/p/N82E16814130948?Description=gtx
8,PNY,GTX 770,PNY VCGGTX7702XPB-OC G-SYNC Support GeForce GTX 770 2GB OC 256-bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,$149.99 –,4,$4.49 Shipping,https://www.newegg.com/pny-geforce-gtx-770-vcggtx7702xpb-oc/p/N82E16814133495?Description=gtx
