,brand,model,product_name,price,rating,shipping,url
0,EVGA,GTX 760,EVGA 02G-P4-3765-KR G-SYNC Support GeForce GTX 760 2GB 256-bit GDDR5 PCI Express 3.0 SLI Support Dual Superclocked w/ EVGA ACX Cooler Video Card,$299.00 (1 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-760-02g-p4-3765-kr/p/N82E16814130953?Description=gtx
1,ZOTAC,GTX 760,ZOTAC ZT-70406-10P G-SYNC Support GeForce GTX 760 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$169.00 –,4,Free Shipping,https://www.newegg.com/zotac-geforce-gtx-760-zt-70406-10p/p/N82E16814500312?Description=gtx
2,DELL,GTX 760,Dell 05T5V GeForce GTX 760 OEM 1.5GB 192-bit GDDR5 PCI Express 3.0 SLI Support Video Card,$295.00 –,,$13.50 Shipping,https://www.newegg.com/dell-geforce-gtx-760-05t5v/p/1FT-0001-00026?Description=gtx
3,EVGA,GTX 760,EVGA 04G-P4-3768-KR G-SYNC Support GeForce GTX 760 FTW 4GB 256-bit GDDR5 PCI Express 3.0 SLI Support Video Card w/ EVGA ACX Cooler,$265.00 (2 Offers)–,,$12.00 Shipping,https://www.newegg.com/evga-geforce-gtx-760-04g-p4-3768-kr/p/1FT-001K-00362?Description=gtx
4,MSI,GTX 760,MSI Gaming N760 TF 2GD5/OC G-SYNC Support GeForce GTX 760 2GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,$149.99 –,5,$4.27 Shipping,https://www.newegg.com/msi-geforce-gtx-760-n760-tf-2gd5-oc/p/N82E16814127745?Description=gtx
5,MSI,GTX 760,MSI Gaming N760 TF 4GD5/OC G-SYNC Support GeForce GTX 760 4GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,$389.00 –,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-760-n760-tf-4gd5-oc/p/N82E16814127748?Description=gtx
