,brand,model,product_name,price,rating,shipping,url
0,MSI,RX 480,MSI Radeon RX 480 DirectX 12 Radeon RX 480 GAMING X 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card,$389.00 –,,Free Shipping,https://www.newegg.com/msi-radeon-rx-480-gaming-x-8g/p/N82E16814137152?Description=RX
1,XFX,RX 480,XFX Radeon RX 480 DirectX 12 RX-480M4BFA6 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,$399.00 –,,Free Shipping,https://www.newegg.com/xfx-radeon-rx-480-rx-480m4bfa6/p/27N-0002-000B0?Description=RX
2,Sapphire,RX 480,SAPPHIRE NITRO+ Radeon RX 480 100406NT+8GOCL 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$199.00 –,,Special Shipping,https://www.newegg.com/p/27N-0005-00181?Description=RX
3,ASUS,RX 480,ASUS ROG Radeon RX 480 STRIX-RX480-O8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$425.00 –,4,Free Shipping,https://www.newegg.com/asus-radeon-rx-480-strix-rx480-o8g-gaming/p/N82E16814126117?Description=RX
4,ASUS,RX 480,ASUS Radeon RX 480 DirectX 12 DUAL-RX480-O4G 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card,$395.00 –,4,Free Shipping,https://www.newegg.com/asus-radeon-rx-480-dual-rx480-o4g/p/N82E16814126135?Description=RX
5,ASUS,RX 480,ASUS Radeon RX 480 DirectX 12 DUAL-RX480-O8G 8GB 256-Bit GDDR5 HDCP Ready CrossFireX Support Video Card,$380.00 –,2,Free Shipping,https://www.newegg.com/asus-radeon-rx-480-dual-rx480-o8g/p/N82E16814126182?Description=RX
6,MSI,RX 480,MSI Radeon RX 480 DirectX 12 RX 480 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support Video Card,$415.00 –,4,Free Shipping,https://www.newegg.com/msi-radeon-rx-480-rx-480-armor-8g-oc/p/N82E16814137048?Description=RX
7,MSI,RX 480,MSI Radeon RX 480 DirectX 12 RX 480 GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support Video Card,$415.00 –,,Free Shipping,https://www.newegg.com/msi-radeon-rx-480-rx-480-gaming-8g/p/N82E16814137039?Description=RX
