,brand,model,product_name,rating,shipping,url
31,ASUS,GTX 1060,ASUS ROG GeForce GTX 1060 STRIX-GTX1060-6G-GAMING 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,5,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1060-strix-gtx1060-6g-gaming/p/N82E16814126114?Description=GTX
32,ASUS,GTX 1060,ASUS ROG STRIX-GTX1060-O6G-GAMING graphics card - GF GTX 1060 - 6 GB - 90YV09Q0-M0NA00,,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1060-90yv09q0-m0na00/p/N82E16814126156?Description=GTX
33,GIGABYTE,GTX 1060,GIGABYTE GeForce GTX 1060 Mini ITX OC 3GB GV-N1060IXOC-3GD Video Card,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060ixoc-3gd/p/N82E16814125905?Description=GTX
34,GIGABYTE,GTX 1060,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060G1 GAMING-6GD REV 2.0 6GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,5,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060g1-gaming-6gd-rev-2-0/p/N82E16814125881?Description=GTX
35,GIGABYTE,GTX 1060,Gigabyte GeForce GTX 1060 G1 Gaming 3GB GDDR5 Graphics Card (GV-N1060G1GAMING-3GD),,Free Shipping,https://www.newegg.com/p/1FT-000A-00033?Description=GTX
36,ZOTAC,GTX 1060,Zotac GeForce GTX 1060 6GB AMP! ZT-P10600B-10M GDDR5 Video Graphics Card GPU,,Free Shipping,https://www.newegg.com/zotac-geforce-gtx-1060-gtx-1060-6gb/p/1FT-000M-002K4?Description=GTX
37,PNY,GTX 1060,PNY GeForce GTX 1060 3GB XLR8 OC Dual Fan GDDR5 VCGGTX10603XGPB-OC-BB Video Card GPU,,Free Shipping,https://www.newegg.com/p/1FT-000P-003E1?Description=GTX
38,ASUS,GTX 1060,Asus GeForce GTX 1060 Graphic Card 1.59GHz Clock 1.81GHz Boost Clock 6GB GDDR5 PCI Express 3.0,,Free Shipping,https://www.newegg.com/p/1FT-000Y-001N0?Description=GTX
39,ASUS,GTX 1060,Asus Dual Nvidia GeForce GTX 1060 6GB (Dual-GTX 1060-06G),,$5.99 Shipping,https://www.newegg.com/p/1FT-000Y-004C8?Description=GTX
40,ASUS,GTX 1060,ASUS Phoenix GeForce GTX 1060 PH-GTX1060-6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1060-ph-gtx1060-6g/p/N82E16814126243?Description=GTX
