brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti FTW3 GAMING, 11G-P4-6696-KR, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M","$1,029.00 (1 Offers)–",5.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6696-kr/p/N82E16814487338?Description=GTX,NONE,1683 MHz,EVGA,3584,"11.80"" x 5.62""",NVIDIA,Triple Fans,1569 MHz,1 x Dual-Link DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11016 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,300 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6696-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,2 x 8-Pin\xa0or 6+2-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,"600 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",250W,Yes,291 (90% Positive),299.72,142.748
EVGA,GTX 1080,"EVGA GeForce GTX 1080 SC GAMING ACX 3.0, 08G-P4-6183-KR, 8GB GDDR5X, LED, DX12 OSD Support (PXOC)",$779.00 (2 Offers)–,5.0,9.0,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6183-kr/p/N82E16814487244?Description=GTX,NONE,NONE,EVGA,2560,"10.50"" x 4.38""",NVIDIA,Double Fans,1708 MHz,1 x Dual-Link DVI-D,3-Oct-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10000 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5X,08G-P4-6183-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1080 SC ACX3.0,NONE,8-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,"500 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",180W,Yes,46 (87% Positive),266.7,111.25200000000001
ASUS,GTX 1080,ASUS ROG GeForce GTX 1080 STRIX-GTX1080-A8G-GAMING 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,$799.00 (1 Offers)–,4.0,,https://www.newegg.com/asus-geforce-gtx-1080-strix-gtx1080-a8g-gaming/p/N82E16814126116?Description=GTX,NONE,"OC mode: 1835 MHz Gaming mode: 1809 MHz*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II",ASUS,2560,"11.73"" x 5.28""",NVIDIA,Triple Fans,OC mode: 1695 MHz Gaming mode: 1670 MHz,1 x Native DVI-D,9-Nov-18,NONE,2 x Native DisplayPort 1.4,NONE,NONE,10010 MHz,"1835 MHz boost clock in OC mode for outstanding performance and gaming experience.DirectCU III with Patented Wing-Blade Fans delivers 30% cooler and 3X quieter performance.ASUS FanConnect features 4-pin GPU-controlled headers connected to system fans for optimal thermal performance.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.Aura RGB Lighting to express personalized gaming style.VR-friendly HDMI ports for immersive virtual reality experiences.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,2 x Native HDMI 2.0,PCI Express 3.0,NONE,298 mm,7680 x 4320,256-Bit,8GB,GDDR5X,STRIX-GTX1080-A8G-GAMING,NONE,OpenGL 4.5,NONE,NONE,Accessories:2 x ROG Cable Ties,"1 x 6-pin, 1 x 8-pin",NONE,NONE,ROG,NONE,Dual Slot,NONE,NONE,180W,Yes,-140,297.942,134.112
MSI,GTX 1080,MSI GeForce GTX 1080 DirectX 12 GTX 1080 GAMING X 8G 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$799.00 –,4.0,,https://www.newegg.com/msi-geforce-gtx-1080-gtx-1080-gaming-x-8g/p/N82E16814127943?Description=GTX,NONE,1847 MHz (OC Mode)1822 MHz (Gaming Mode)1733 MHz (Silent Mode),MSI,2560,"10.98"" x 5.51""",NVIDIA,Double Fans,1708 MHz (OC Mode)1683 MHz (Gaming Mode)1607 MHz (Silent Mode),1 x DL-DVI-D,20-Dec-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10108 MHz (OC Mode)10010 MHz (Gaming Mode)10010 MHz (Silent Mode),"The Ultimate GAMING: TWIN FROZR VI- Smooth Heat PipesSquared shape at bottommaximize heat transfer from the copper base plate.- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment.- Airflow Control TechnologyDeflectors thrusts air onto heat pipes for lower temperatures and better gaming.TORX FAN 2.0: Supremely silent- Dispersion fan bladeSteeper curved blade accelerating the airflow.- Traditional fan bladeProvides steady airflow to massive heatsink below.- Double ball bearingStrong and lasting core for years of smooth gaming.Gaming App- Instant Performance GainUnlock extra performance or keep your card silent during light use in one click.- LED controlFull control on your RGB GAMING LEDs to set the mood.- Mobile APPControl your graphics card from your phone.",ATX,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,279 mm,7680 x 4320,256-Bit,8GB,GDDR5X,GTX 1080 GAMING X 8G,4,OpenGL 4.5,NONE,NONE,NONE,"1 x 6-pin, 1 x 8-pin",NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,Power consumption: 180WRecommended Power Supply: 500W,180W,Yes,-140,278.892,139.954
ASUS,GTX 1080,ASUS GeForce GTX 1080 Ti DirectX 12 TURBO-GTX1080TI-11G 11GB 352-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,029.00 (1 Offers)–",4.0,,https://www.newegg.com/asus-geforce-gtx-1080-ti-turbo-gtx1080ti-11g/p/N82E16814126188?Description=GTX,NONE,1582 MHz,ASUS,3584,"10.50"" x 4.38""",NVIDIA,Single Fan,1480 MHz,NONE,9-Nov-18,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,11010 MHz (DDR2),"ASUS Turbo GeForce GTX 1080 Ti 11GB GDDR5X for best VR, 4K gaming and system integration- NVIDIA GeForce GTX 1080 Ti is the fastest gaming GPU that delivers 35% faster performance than the GeForce GTX 1080.- Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.- Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,267 mm,7680 x 4320,352-Bit,11GB,GDDR5X,TURBO-GTX1080TI-11G,NONE,OpenGL 4.5,NONE,TURBO-GTX1080TI-11G,Accessories:1 x DP-DVI Dongle,"1 x 6-pin, 1 x 8-pin",NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,NONE,250W,Yes,-20,266.7,111.25200000000001
EVGA,GTX 1080,EVGA GeForce GTX 1080 Ti FE DirectX 12 11G-P4-6390-KR 11GB 352-Bit GDDR5X PCI Express 3.0 SLI Support FOUNDERS EDITION Video Card,"$1,099.00 (1 Offers)–",5.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-fe-11g-p4-6390-kr/p/N82E16814487335?Description=GTX,NONE,1582 MHz,EVGA,3584,"10.60"" x 4.38""",NVIDIA,Single Fan,1480 MHz,NONE,26-Oct-18,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,11016 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320Built for EVGA Precision XOCHDMI 2.0b, DisplayPort 1.4 and DVI (via DP to Single-Link DVI-D Adapter)",NONE,GeForce GTX 1080 Ti FE,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,270 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6390-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,1 x 6-Pin1 x 8-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,"600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",NONE,Yes,-88,269.24,111.25200000000001
NVIDIA,GTX 1080,"NVIDIA GeForce GTX 1080 Founders Edition, 8GB GDDR5X PCI Express 3.0 Graphics Card",$799.00 (1 Offers)–,4.0,,https://www.newegg.com/nvidia-900-1g413-2500-00/p/1FT-0004-001S3?Description=GTX,NONE,1733MHz,NVIDIA,2560,NONE,NVIDIA,NONE,1607MHz,NONE,4-Oct-18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,PCI Express 3.0,NONE,NONE,NONE,256-Bit,8GB,NONE,NVIDIA 900-1G413-2500-00,NONE,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,-4,0.0,0.0
EVGA,GTX 1080,"EVGA GeForce GTX 1080 FTW GAMING ACX 3.0, 08G-P4-6286-KR, 8GB GDDR5X, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC)",$799.00 (1 Offers)–,5.0,,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6286-kr/p/N82E16814487245?Description=GTX,NONE,1860 MHz,EVGA,2560,"10.50"" x 5.06""",NVIDIA,Double Fans,1721 MHz,1 x Dual-Link DVI-D,26-Oct-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10000 MHz,"EVGA Double BIOSSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA PrecisionX OCEVGA ACX 3.0 Cooling10 Phase Power DesignAdjustable RGB LED",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5X,08G-P4-6286-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,2 x 8-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",180W,Yes,-375,266.7,128.524
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti FTW3 GAMING, 11G-P4-6696-KR, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M (OEM Edition)",$949.99 (2 Offers)–,,45.0,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6696-kr/p/1FT-001K-00716?Description=GTX,NONE,NONE,EVGA,3584,"11.80"" x 5.62""",NVIDIA,Triple Fans,1569 MHz,1 x DVI,10-Mar-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11016 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology",ATX,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,300 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6696-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1080 Ti FTW3,NONE,2 x 8-Pin or 6+2-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,"600 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",250W,Yes,291 (90% Positive),299.72,142.748
GIGABYTE,GTX 1080,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080WF3OC-8GD 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support ATX Video Card,$799.00 (1 Offers)–,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1080-gv-n1080wf3oc-8gd/p/N82E16814125880?Description=GTX,NONE,OC Mode: 1797 MHzGaming Mode: 1771 MHz,GIGABYTE,2560,"11.02"" x 4.49""",NVIDIA,WINDFORCE 3X,OC Mode: 1657 MHzGaming Mode: 1632 MHz,1 x Dual-Link DVI-D,16-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10010 MHz,Powered by GeForce GTX 1080Integrated with 8GB GDDR5X 256-bit memoryWINDFORCE 3X with Blade Fan DesignSupport up to 8K display @60Hz,ATX,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,256-Bit,8GB,GDDR5X,GV-N1080WF3OC-8GD,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,System PSU Limitation: 500WGPU (TDP): 131W (Real)\tTotal Graphics Power (TGP): 225W (Real),180W,Yes,-81,279.908,114.046
EVGA,GTX 1080,EVGA GeForce GTX 1080 Ti Gaming 11GB Video Card 11G-P4-5390-KR Graphics GPU,$799.00 –,5.0,,https://www.newegg.com/p/1FT-001K-004U0?Description=GTX,NONE,NONE,EVGA,NONE,NONE,NVIDIA,Single Fan,NONE,NONE,1-Aug-20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,NONE,NONE,NONE,NONE,NONE,NONE,NONE,11GB,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,250W,NONE,-3,0.0,0.0
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti SC Black Edition GAMING, 11G-P4-6393-KR, 11GB GDDR5X, iCX Cooler & LED","$1,029.00 (1 Offers)–",5.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6393-kr/p/N82E16814487336?Description=GTX,NONE,1670 MHz,EVGA,3584,"10.50"" x 4.38""",NVIDIA,Double Fans,1556 MHz,1 x Dual-Link DVI-D,26-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11000 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCiCX CoolingNew vented heatsink fin design and pin fins for optimized airflowRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipation",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6393-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,1 x 6-Pin1 x 8-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"600 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",250W,Yes,291 (90% Positive),266.7,111.25200000000001
MSI,GTX 1080,MSI GeForce GTX 1080 DirectX 12 GTX 1080 GAMING 8G 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$799.00 –,5.0,,https://www.newegg.com/msi-geforce-gtx-1080-gtx-1080-gaming-8g/p/N82E16814127950?Description=GTX,NONE,1771 MHz (OC Mode)1759 MHz (Gaming Mode)1733 MHz (Silent Mode),MSI,2560,"10.98"" x 5.51""",NVIDIA,Double Fans,1632 MHz (OC Mode)1620 MHz (Gaming Mode)1607 MHz (Silent Mode),1 x DL-DVI-D,17-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10010 MHz,"The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipesSquared shape at bottommaximize heat transfer from the copper base plate- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technologyDeflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan bladeSteeper curved blade accelerating the airflow- Traditional fan bladeProvides steady airflow to massive heatsink below- Double ball bearingStrong and lasting core for years of smooth gamingGaming App- Instant Performance GainUnlock extra performance or keep your card silent during light use in one click- LED controlFull control on your RGB GAMING LEDs to set the mood- Mobile APPControl your graphics card from your phone",ATX,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,279 mm,7680 x 4320,256-Bit,8GB,GDDR5X,GTX 1080 GAMING 8G,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,Power Consumption: 180WRecommended PSU: 500W,180W,Yes,-87,278.892,139.954
GIGABYTE,GTX 1080,GIGABYTE GeForce GTX 1080 G1 Gaming GV-N1080G1 GAMING-8GD Video Card,$799.00 (1 Offers)–,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1080-gv-n1080g1-gaming-8gd/p/N82E16814125869?Description=GTX,NONE,1860 MHz in OC Mode1835 MHz in Gaming Mode,GIGABYTE,2560,"11.02"" x 4.49""",NVIDIA,Triple Fans,1721 MHz in OC Mode1695 MHz in Gaming Mode,1 x Dual-link DVI-D,16-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10010 MHz,Power by GeForce GTX 1080Integrated with 8GB GDDR5X 256-bit memoryWINDFORCE 3X with Blade Fan DesignSupport up to 8K display @60Hz (requires 2 x DP1.3 connectors)16.8M Customizable Color RGB Lighting,ATX,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320 (requires 2 x DP1.3 connectors),256-Bit,8GB,GDDR5X,GV-N1080G1 GAMING-8GD,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,Recommended PSU: 500W,180W,Yes,-131,279.908,114.046
ASUS,GTX 1080,ASUS GeForce GTX 1080 STRIX-GTX1080-8G-GAMING 8GB 256-Bit GDDR5X PCI Express 3.0 Video Card,$799.00 (1 Offers)–,4.0,,https://www.newegg.com/asus-geforce-gtx-1080-strix-gtx1080-8g-gaming/p/N82E16814126106?Description=GTX,NONE,1733 MHz,ASUS,2560,"11.73"" x 5.28""",NVIDIA,Triple Fans,1607 MHz,1 x Dual-link DVI-D,9-Nov-18,NONE,2 x DisplayPort 1.4,NONE,NONE,10000 MHz,1733 MHz Boost Clock with Super Alloy Power II Delivery Aura RGB Lighting on both shroud and backplate New ASUS FanConnect provides dual 4-pin GPU-controlled PWM fan headers DirectCU III with 0dB fan technology and patented wing-blade fans 4K and VR Ready with dual HDMI 2.0 ports to simultaneously connect headset & monitor,NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0,PCI Express 3.0,NONE,298 mm,NONE,256-Bit,8GB,GDDR5X,STRIX-GTX1080-8G-GAMING,NONE,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Dual Slot,NONE,NONE,180W,NONE,-63,297.942,134.112
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti FTW3 GAMING, 11G-P4-6696-KR, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M Video Graphics Card",,5.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6696-kr/p/1FT-001K-001A1?Description=GTX,NONE,NONE,EVGA,3584,"11.80"" x 5.62""",NVIDIA,Triple Fans,1569 MHz,1 x Dual-Link DVI-D,21-Dec-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11016 MHz,"Simultaneous Multi-Projection  VR Ready  NVIDIA Ansel  NVIDIA SLI w/ HB Bridge Support  NVIDIA G-SYNC  NVIDIA GameStream  NVIDIA GPU Boost 3.0  Microsoft DirectX 12  Vulkan API  OpenGL 4.5 Support  Max Digital Resolution - 7680 x 4320  HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI  Built for EVGA Precision XOC  Asynchronous Fans  9 additional temp sensors to monitor Memory and VRM  GPU / Memory / PWM Thermal Status Indicator LEDs  New vented heatsink fin design and pin fins for optimized airflow  Safety fuse to protect components from damage due to improper installation or other component failures  Redesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipation  EVGA iCX Technology",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,300 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6696-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1080 Ti FTW3,NONE,2 x 8-Pin or 6+2-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"600 Watts or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",250W,Yes,291 (90% Positive),299.72,142.748
EVGA,GTX 1080,"EVGA GeForce GTX 1080 FTW DT GAMING ACX 3.0, 8GB GDDR5X, RGB LED, 10CM FAN, 10 Power Phases, DX12, 08G-P4-6284-KR",$799.00 –,4.0,,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6284-kr/p/N82E16814487252?Description=GTX,NONE,1733 MHz,EVGA,2560,"10.50"" x 5.06""",NVIDIA,ACX 3.0,1607 MHz,1 x Dual-Link DVI-D,9-Oct-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10000 MHz,"EVGA Double BIOSVR ReadyNVIDIA SLI w/ HB Bridge SupportNVIDIA GameStreamMicrosoft DirectX 12 APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320Built for EVGA Precision XOC10 Phase Power DesignSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA G-SYNCNVIDIA GPU Boost 3.0Vulkan APIPCI Express 3.0HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIEVGA ACX 3.0 CoolingAdjustable RGB LED",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5X,08G-P4-6284-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,Two 8-pin or 6+2-pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,"500 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphicsslot.Total Power Draw: 215 Watts.",180W,Yes,-50,266.7,128.524
ASUS,GTX 1080,ASUS GeForce GTX 1080 TI 11GB GDDR5X Founders Edition VR Ready 5K HD Gaming HDMI DisplayPort PCIe Graphics Card (GTX1080TI-FE),"$1,029.00 (1 Offers)–",4.0,,https://www.newegg.com/asus-geforce-gtx-1080-ti-fe-gtx1080ti-fe/p/N82E16814126185?Description=GTX,NONE,1582 MHz,ASUS,3584,"10.50"" x 4.38""",NVIDIA,Single Fan,1480 MHz,NONE,9-Nov-18,DirectX 12,3 x DisplayPort,NONE,NONE,11010 MHz,"ASUS GeForce GTX 1080 Ti Founders Edition 11GB GDDR5X- Fastest gaming GPU with 3584 NVIDIA CUDA cores and massive 11GB frame buffer, delivering 35% faster performance than the GeForce GTX 1080.- Get up to 3X the performance and power efficiency of previous generation GPUs.- Ultra-fast FinFET and high-speed GDDR5X technologies, plus support for DirectX 12 features.- NVIDIA GameWorks for a more interactive and cinematic experience, as well as incredibly smooth gameplay.- ASUS GPU Tweak II with XSplit Gamecaster for intuitive performance tweaking and instant gameplay streaming.",NONE,GeForce GTX 1080 Ti FE,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,267 mm,7680 x 4320,352-Bit,11GB,GDDR5X,GTX1080TI-FE,Yes,OpenGL 4.5,NONE,NONE,Accessories:1 x DP-DVI Dongle,1 x 6-pin1 x 8-pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,Graphics Card Power: 250WRecommended System Power: 600W,NONE,Yes,-19,266.7,111.25200000000001
