brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
NVIDIA,GTX 1080,Nvidia GEFORCE GTX 1080 Ti - FE Founders Edition (Renewed),$689.00 –,,0.0,https://www.newegg.com/p/17Z-00AZ-000E2?Description=GTX,NONE,NONE,NVIDIA,NONE,NONE,NVIDIA,Air Cooler,NONE,NONE,19-Aug-20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,PCI Express 3.0 x16,NONE,NONE,NONE,NONE,11GB,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0
PNY,GTX 1080,PNY GeForce GTX 1080 Ti DirectX 12 RGMX108TN3IBGT1KTP 11GB 352-Bit GDDR5X PCI Express 3.0 x16 SLI Support Video Card,$899.00 –,,,https://www.newegg.com/pny-geforce-gtx-1080-ti-rgmx108tn3ibgt1ktp/p/N82E16814133778?Description=GTX,NONE,1582 MHz,PNY,3584,"10.50"" x 4.38""",NVIDIA,Blower,1480 MHz,NONE,15-Mar-19,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,11 GBPS,Simultaneous Multi-ProjectionNVIDIA Ansel SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Vulkan API SupportMax Digital Resolution - 7680 x 4320 @ 60 Hz** 7680 x 4320 @ 60 Hz RGB 8-bit with dual DisplayPort connectors or 7680 x 4320 @ 60 Hz YUV420 8-bit with DisplayPort 1.3 connector.,NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,267 mm,7680 x 4320 @ 60 HZ (Digital),352-Bit,11GB,GDDR5X,RGMX108TN3IBGT1KTP,Yes,OpenGL 4.5,NONE,NONE,NONE,"One 6-PIN, One 8-PIN",NONE,SLI HB Bridge Supported,NONE,NONE,Dual Slot,NONE,"TDP: 250WPCI Express-compliant motherboard with one dual-width x16 graphics slotOne 6-pin, One 8-pin PCI Express supplementary power connectorsMinimum 600W or greater system power supply*300MB of available hard-disk space8GB system memory (16GB or higher recommended)Windows 7-10, Linux, FreeBSDx86Internet connection*** Recommendation is made based on PC configured with an Intel Core i7 3.2 GHz processor. Pre-built system may require less power depending on system configuration.** Graphics Card driver is not included in the box; GeForce Experience will download the latest GeForce driver from the Internet after install.",250W,Yes,0 reviews,266.7,111.25200000000001
MSI,GTX 1080,MSI GeForce GTX 1080 DirectX 12 MSI-GEFORCEGTX1080DUKE8GOC-RFB 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support Video Card,$730.00 –,,4.95,https://www.newegg.com/geforce-gtx-1080-msi-geforcegtx1080duke8goc-rfb/p/N82E16814137238?Description=GTX,NONE,1847 MHz,MSI,NONE,"12.28"" x 5.51""",NVIDIA,Triple Fans,1708 MHz,DL-DVI-D,10-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10108 MHz,NONE,NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,312 mm,7680 x 4320,256-Bit,8GB,GDDR5X,MSI-GEFORCEGTX1080DUKE8GOC-RFB,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,Power consumption: 180WRecommended PSU: 500W,180W,Yes,0 reviews,311.9120000000001,139.954
PNY,GTX 1080,PNY GeForce GTX 1080 Ti VCGGTX1080T11PB-CG 11GB 352-bit GDDR5X PCI Express 3.0 x16 Graphics Card,$899.00 –,,,https://www.newegg.com/pny-geforce-gtx-1080-ti-vcggtx1080t11pb-cg/p/1FT-000P-003S1?Description=GTX,NONE,1582 MHz,PNY,3584,"10.5"" x 4.376""",NVIDIA,Single Fan,1480 MHz,NONE,13-Apr-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,11 GBPS,NONE,NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,NONE,7680 x 4320,352-Bit,11GB,GDDR5X,VCGGTX1080T11PB-CG,4,OpenGL 4.5,"Windows 7-10, Linux, FreeBSDx86",NONE,NONE,6-Pin / 8-Pin,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,Minimum 600W or greater system power supply,250W,NONE,0 reviews,266.7,111.1504
NVIDIA,GTX 1080,Nvidia Geforce GTX 1080 Ti Founders Edition (GTX1080TI-FE),$899.99 –,,,https://www.newegg.com/p/1FT-0004-002N5?Description=GTX,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,19-Dec-18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1080 Ti FE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0
ZOTAC,GTX 1080,ZOTAC GeForce GTX 1080 Ti Blower 11GB GDDR5X ZT-ZT-P10810B-10P,$859.00 –,,,https://www.newegg.com/p/1FT-000M-00113?Description=GTX,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,28-Jan-19,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0
EVGA,GTX 1080,EVGA GeForce GTX 1080 Ti Video Graphic Card 11GB GDDR5X ICX RGB (11G-P4-6591-KR),$899.00 –,,,https://www.newegg.com/p/1FT-001K-003M7?Description=GTX,NONE,NONE,NONE,NONE,NONE,NONE,Double Fans,NONE,NONE,15-May-19,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,11GB,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0
ASUS,GTX 1080,ASUS GeForce GTX 1080 11GB Turbo Edition VR Ready 5K Gaming HDMI Graphics Card,$859.00 –,,,https://www.newegg.com/asus-geforce-gtx-1080-ti-turbo-gtx1080ti-11g/p/1FT-000Y-00112?Description=GTX,NONE,1582 MHz,ASUS,3584,"10.50"" x 4.38""",NVIDIA,Single Fan,1480 MHz,NONE,25-Jan-19,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,11010 MHz,NONE,NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,267 mm,7680 x 4320,352-Bit,11GB,GDDR5X,TURBO-GTX1080TI-11G,NONE,OpenGL 4.4,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,NONE,250W,Yes,0 reviews,266.7,111.25200000000001
ASUS,GTX 1080,Asus Geforce GTX 1080 8GB STRIX Overclocked Video Card STRIX-GTX1080-A8G-GAMING,$599.00 –,,,https://www.newegg.com/p/1FT-000Y-001A8?Description=GTX,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,24-Nov-18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0
GIGABYTE,GTX 1080,GIGABYTE GeForce GTX 1080 G1 Gaming GV-N1080G1 GAMING-8GD Video Card,$599.00 –,,,https://www.newegg.com/gigabyte-gv-n1080g1-gaming-8gd/p/1FT-000A-000P8?Description=GTX,NONE,1860 MHz in OC Mode 1835 MHz in Gaming Mode,GIGABYTE,2560,NONE,NONE,Triple Fans,1721 MHz in OC Mode 1695 MHz in Gaming Mode,1 x Dual-link DVI-D,24-May-19,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,10010 MHz,NONE,ATX,NONE,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,NONE,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5X,GV-N1080G1 GAMING-8GD,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,2-Way SLI,G1 Gaming,NONE,Dual Slot,NONE,NONE,NONE,Yes,0 reviews,0.0,0.0
