Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,PixelPipelines ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['1771 MHz'],['ZOTAC'],['1280'],"['8.27"" x 4.80""']",['NVIDIA'],['Dual Fan IceStorm'],['1556 MHz'],['1 x Dual-link DVI-D'],"['September 16, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],['Dual 90mm IceStormFREEZE TechSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU BOOST 3.0NVIDIA G-SyncNVIDIA GameStream'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['210 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['ZT-P10600B-10M'],['4'],['OpenGL 4.5'],['Microsoft Windows 10/8/7 x86/x64'],,['ZOTAC GeForce GTX 1060 AMP! EditionDual 4-pin to 6-pin cableUser Manual'],,['6-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 400W'],['120W'],['Yes'],(58)
['1708 MHz'],['ZOTAC'],['1152'],"['6.85"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x DL-DVI'],"['July 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],"['The ZOTAC GeForce GTX 1060 graphics card is loaded with innovative new gaming technologies, making it the perfect choice for the latest high-definition games. Powered by NVIDIA Pascal - the most advanced GPU architecture ever created - the ZOTAC GeForce GTX 1060 delivers brilliant performance that opens the door to virtual reality and beyond.FEATURES- Simultaneous Multi-Projection- VR Ready- NVIDIA Ansel- NVIDIA GPU BOOST 3.0- NVIDIA G-Sync- NVIDIA GameStream- Vulkan API']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['174 mm'],,['192-Bit'],['3GB'],['GDDR5'],['ZT-P10610A-10L'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,['Accessories:User Manual'],,['6-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 400WPower Consumption: 120W'],['120W'],['Yes'],(34)
['1708 MHz'],['EVGA'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['ACX 3.0'],['1506 MHz'],['1 x Dual-Link DVI-D'],"['September 16, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.6 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6262-KR'],['4'],['OpenGL 4.6'],['Windows 10 32/64bitWindows 8 32/64bitWindows 7 32/64bit'],,,,['8-Pin'],,,['Dual Slot'],['Minimum of a 400-Watt power supplyTotal Power Draw: 120 Watts'],['120W'],['Yes'],(44)
['1835 MHz'],['EVGA'],['1280'],"['6.80"" x 4.38""']",['NVIDIA'],['Single Fan'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['May 06, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIAG-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['173 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6163-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,,['6-Pin'],['No'],,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],(240)
['1708 MHz'],['ZOTAC'],['1280'],"['8.31"" x 4.92""']",['NVIDIA'],['Double Fans'],['1506 MHz'],['1 x DL-DVI-D'],"['September 09, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],['IceStormSimultaneous Multi-Projection4K / VR ReadyNVIDIA AnselNVIDIA G-SyncNVIDIA GameStreamSuper Compact'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['211 mm'],,['192-Bit'],['6GB'],['GDDR5X'],['ZT-P10620A-10M'],['4'],['OpenGL 4.5'],['Windows 10 / 7 64-bit'],,['ZOTAC GeForce GTX 1060 6GB GDDR5X1 x Dual 6-pin to 8-pin power cableUser Manual'],,['8-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 500W'],['120W'],['Yes'],(101)
['1708 MHz'],['ASUS'],['1152'],"['7.20"" x 4.76""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x DVI-D'],"['May 21, 2020']",,['2 x DisplayPort 1.4'],,,['8008 MHz'],['Dual-ball Bearing Fan reduces spinning friction for 2X longer lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['183 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['PH-GTX1060-3G'],['4'],['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],,['6-Pin'],['No'],['Phoenix'],['Dual Slot'],['Recommended PSU: 500W'],['120W'],['Yes'],(16)
['1708 MHz'],['ASUS'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x DVI-D'],"['September 09, 2019']",,['2 x DisplayPort 1.4'],,,['8008 MHz'],"['Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.VR-friendly HDMI Ports for immersive virtual reality experiences.Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['TURBO-GTX1060-6G'],,['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],,['6-Pin'],,['Turbo'],['Dual Slot'],,['120W'],['Yes'],(48)
['N/A'],['GIGABYTE'],['1280'],"['6.65"" x 5.16""']",['NVIDIA'],['Single Fan'],['1556 MHz in OC Mode1531 MHz in Gaming Mode'],['2 x Dual-link DVI-D'],"['January 05, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memory90mm cooler with 3D active fanOne-click Super Overclocking17cm Compact Card Size'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['169 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['GV-N1060IXOC-6GD'],['4'],['OpenGL 4.5'],,['GV-N1060IXOC-6GD'],,,['6-Pin'],,,['Dual Slot'],['Recommended PSU: 400W'],['120W'],['Yes'],(26)
['1746 MHz (OC)1733 MHz (Gaming)1708 MHz (Silent)'],['MSI'],['1152'],"['10.91"" x 5.51""']",['NVIDIA'],['Double Fans'],['1531 MHz (OC)1518 MHz (Gaming)1506 MHz (Silent)'],['1 x DL-DVI-D'],"['July 20, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['8008 MHz'],"['The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipes: Squared shape at bottom maximize heat transfer from the copper base plate- Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technology: Deflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heat sink belowGaming App- Instant Performance Gain: Unlock extra performance or keep your card silent during light use in one click- LED control: Full control on your RGB GAMING LEDs to set the mood- Mobile APP: Control your graphics card from your phone']",['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],['278 mm'],,['192-Bit'],['3GB'],['GDDR5'],['GTX 1060 GAMING 3G'],['Yes'],['OpenGL 4.5'],,,['Accessories:Driver CDInstallation Guide'],,['8-Pin'],,,['Dual Slot'],['Power Consumption: 120WRecommended PSU: 400W'],['120W'],['Yes'],(12)
['1759 MHz'],['MSI'],['1280'],"['9.57"" x 4.53""']",['NVIDIA'],['Double Fans'],['1544 MHz'],['1 x DL-DVI-D'],"['June 13, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"[""Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP and Solid CAP components.Dual Fans Thermal Design- Dual fans covers more area of heatsink to take heat away more efficiently.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12 benchmark.GeForce GTX VR Ready- NVIDIA's unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing.""]",['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],['243 mm'],,['192-Bit'],['6GB'],['GDDR5'],['GTX 1060 6GT OCV1'],['3'],['OpenGL 4.5'],,,,,['6-Pin'],,,['Dual Slot'],['Power Consumption: 120WRecommended PSU: 400W'],['120W'],['Yes'],(38)
